OTU,Domain,Clade1,Class,Order,Family,Genus,Species,WTU.domain,WTU.clade1,WTU.class,WTU.order,WTU.family,WTU.genus,WTU.species
OTU9475,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium moschatum,2,4,5,22,43,214,552
OTU12585,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU14798,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU19797,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU13223,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU19273,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium moschatum,2,4,5,22,43,214,552
OTU20220,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU20363,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU19172,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU18543,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU20780,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU17422,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU18205,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU19782,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU4416,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU4328,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU7692,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU6124,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU10359,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU6634,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU2083,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU11397,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU2782,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU5478,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU4794,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU5104,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU21646,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU20990,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU3675,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU917,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU2287,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU2358,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU3242,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU3101,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU3633,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU4218,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU4866,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU6623,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU10342,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU5642,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU7389,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU20623,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU2460,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU10284,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU12446,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU14007,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU3072,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU9222,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU4139,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU2842,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU1897,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU3271,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU22717,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU6758,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU3482,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU10303,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU2616,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU630,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU7265,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU7022,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU13186,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU3969,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU5830,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU3865,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU5972,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU2694,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU5526,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU6305,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU6642,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU3213,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU19436,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU3564,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU7482,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU3559,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU4900,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU8645,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU8616,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU15562,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU9707,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU14348,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU8975,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU9284,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU12454,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU15671,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU2374,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU2383,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU3040,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU13033,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU9180,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU20521,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU4326,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU7098,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU2487,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU5305,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU3927,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU3842,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU6286,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU7403,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU4943,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU5994,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU1906,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU16127,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU2861,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU11219,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU14604,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU23004,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU4631,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU10961,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU18999,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU8752,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU10699,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU7685,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU5694,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU8777,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU14020,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU6148,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU6593,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU17749,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium moschatum,2,4,5,22,43,214,552
OTU9644,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU23720,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU11271,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU8235,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU17112,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU19790,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU7411,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU7413,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU8463,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU17647,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU7834,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU22999,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU4483,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU18973,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU11045,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU14147,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU11382,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU8824,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU22569,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU23400,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU13738,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU14113,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU8094,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU20114,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU13075,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU5122,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU8367,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU20651,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU9530,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU11602,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU18895,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU16188,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU8366,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU8683,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU23857,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU4635,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium lebelii,2,4,5,22,43,214,550
OTU17517,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU10332,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU9683,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU10647,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU22270,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU11827,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU3805,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU6987,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU9834,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU406,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia tanacetifolia,2,4,5,12,18,131,287
OTU15808,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU5347,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU15956,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU152,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia tanacetifolia,2,4,5,12,18,131,287
OTU10841,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU23577,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU15889,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU7037,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU17154,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU15196,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia pinnata,2,4,5,12,18,131,284
OTU5439,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU23630,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU822,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia tanacetifolia,2,4,5,12,18,131,287
OTU3228,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU10225,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU20685,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU10368,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU15771,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU2495,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia tanacetifolia,2,4,5,12,18,131,287
OTU1841,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia tanacetifolia,2,4,5,12,18,131,287
OTU20616,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU4005,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU5782,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU9890,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU2505,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU2973,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU3914,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU2744,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU5029,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU15705,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU4515,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU3487,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU7011,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU7009,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU16901,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU9877,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU2980,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU2941,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU5978,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU4574,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU2898,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU7779,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU10044,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU4526,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU7876,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU11416,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
