month,day,year,period,vial_barcode,plot,stake,species,sex,sample_type,PIT_tag,notes,trnL_total
3,28,2017,460,S010023,11,47,PP,M,fresh,B20208,,NA
3,28,2017,460,S010003,11,67,DM,F,trap,B1FDA8,,14160
3,28,2017,460,S010017,11,61,PP,F,fresh,B2076C,,NA
3,28,2017,460,S010049,11,61,PP,F,trap,B2076C,,14047
3,28,2017,460,S010037,11,36,DM,M,fresh,B26791,,NA
3,28,2017,460,S010053,11,36,DM,M,trap,B26791,,1573
3,28,2017,460,S010043,11,14,DM,M,trap,B21360,,12520
3,28,2017,460,S010033,11,15,DM,F,trap,B1F39E,,9354
3,28,2017,460,S010064,19,56,PP,F,fresh,B26A52,,NA
3,28,2017,460,S010074,19,56,PP,F,trap,B26A52,,20838
3,28,2017,460,S010013,19,22,PP,M,trap,B1F2AC,,29480
3,28,2017,460,S010039,20,17,PP,F,fresh,B2CA33,,NA
3,28,2017,460,S010044,20,17,PP,F,trap,B2CA33,,26855
3,28,2017,460,S010034,20,44,PP,M,fresh,NA,,NA
3,28,2017,460,S010014,20,44,PP,M,trap,NA,,15997
3,28,2017,460,S010063,20,52,PP,F,trap,B1F12C,,11720
3,28,2017,460,S010028,20,52,PP,F,fresh,B1F12C,,NA
3,28,2017,460,S010069,20,42,PP,F,trap,B1FF1D,,13898
3,28,2017,460,S010068,20,24,PP,M,trap,B1F124,,17349
3,28,2017,460,S010083,20,24,PP,M,fresh,B1F124,,NA
3,28,2017,460,S010092,20,66,PP,F,trap,B21078,,8473
3,28,2017,460,S010073,20,66,PP,F,fresh,B21078,,NA
3,28,2017,460,S010027,20,65,PP,M,fresh,B201EC,,NA
3,28,2017,460,S010002,20,65,PP,M,trap,B201EC,,19708
3,29,2017,460,S008812,3,62,PP,F,trap,B2B4A5,,18089
3,29,2017,460,S008803,3,36,PP,F,trap,B1DB76,,21234
3,29,2017,460,S008811,3,65,PP,M,trap,B1FF41,,29615
3,29,2017,460,S008814,3,45,PP,F,trap,B18E24,,13394
3,29,2017,460,S010038,14,52,PP,F,trap,A51565,,21535
3,29,2017,460,S010058,14,46,DM,M,trap,B2D1BD,,22791
3,29,2017,460,S010012,14,53,PP,M,trap,B2ADDD,,10036
3,29,2017,460,S008816,14,51,DO,M,trap,B7144D,,9861
3,29,2017,460,S008817,14,34,DO,F,trap,B1DB12,,19735
3,29,2017,460,S010093,14,34,DO,F,fresh,B1DB12,,NA
3,29,2017,460,S008815,14,36,DM,F,trap,B20652,,19179
3,29,2017,460,S008800,14,75,DO,F,fresh,B210B4,,NA
3,29,2017,460,S010032,14,75,DO,F,trap,B210B4,,18686
3,29,2017,460,S010072,14,71,DO,M,trap,B19BB1,,24764
3,29,2017,460,S008813,14,21,DO,F,trap,B2C686,,19650
3,29,2017,460,S010085,14,16,DM,M,trap,B2CEEE,,7128
3,29,2017,460,S010016,14,16,DM,M,fresh,B2CEEE,,NA
3,29,2017,460,S008804,14,76,PP,M,trap,B2C988,,24572
3,29,2017,460,S010006,14,76,PP,M,fresh,B2C988,,NA
3,29,2017,460,S010031,14,62,PP,M,trap,B1DBAD,,6496
3,29,2017,460,S010018,15,64,PP,M,fresh,B2C475,,NA
3,29,2017,460,S010046,15,64,PP,M,trap,B2C475,,12100
3,29,2017,460,S010082,15,77,PP,F,trap,B2C4F3,,15192
3,29,2017,460,S008806,15,31,PP,F,trap,B2D3D5,,25826
3,29,2017,460,S010062,17,24,DM,M,fresh,B20631,,NA
3,29,2017,460,S009092,17,24,DM,M,trap,B20631,,30293
3,29,2017,460,S010065,17,37,PP,M,fresh,B1F2EB,,NA
3,29,2017,460,S010022,17,37,PP,M,trap,B1F2EB,,19987
3,29,2017,460,S010026,17,63,DM,M,fresh,B207F3,,NA
3,29,2017,460,S010035,17,63,DM,M,trap,B207F3,,16094
3,29,2017,460,S009072,17,67,DM,F,trap,B2B4BF,,16639
3,29,2017,460,S009070,17,13,DM,F,trap,B2CE4E,,15708
3,29,2017,460,S010025,17,13,DM,F,fresh,B2CE4E,,NA
3,29,2017,460,S008810,17,61,PP,M,trap,B20422,,25946
3,29,2017,460,S008802,17,71,PP,M,trap,B21151,,23037
3,29,2017,460,S010055,17,71,PP,M,fresh,B21151,,NA
4,1,2017,-460,S010000,4,23,DO,M,trap,DO8,clean millet,3174
4,1,2017,-460,S010086,4,35,DM,M,trap,B1FECD,clean millet,11628
4,1,2017,-460,S010087,4,43,DO,F,trap,DO1,clean millet,20486
4,1,2017,-460,S010090,4,67,DO,F,trap,B20227,clean millet,16282
4,1,2017,-460,S010041,4,67,DO,F,fresh,B20227,clean millet,16754
4,1,2017,-460,S008861,4,72,DO,M,trap,DO2,clean millet,14580
4,1,2017,-460,S010081,4,42,PP,F,trap,B2B22C,clean millet,6836
4,1,2017,-460,S010076,4,51,DO,F,trap,B2C5EB,clean millet,6756
4,1,2017,-460,S010001,4,51,DO,F,fresh,B2C5EB,clean millet,15531
4,1,2017,-460,S010099,4,71,DM,F,trap,B71300,clean millet,13855
4,1,2017,-460,S010040,4,71,DM,F,fresh,B71300,clean millet,18629
4,1,2017,-460,S010070,24,61,DM,F,trap,B1E7F3,dirty oatmeal,14179
4,1,2017,-460,S010050,24,61,DM,F,fresh,B1E7F3,dirty oatmeal,17538
4,1,2017,-460,S010051,24,53,DM,M,trap,B1DB46,dirty oatmeal,17807
4,1,2017,-460,S010010,24,65,DM,F,trap,B2CC91,dirty oatmeal,7617
4,1,2017,-460,S008860,24,41,DM,M,trap,DM3,dirty oatmeal,6480
4,1,2017,-460,S010061,24,55,DM,M,trap,B2B328,dirty oatmeal,17123
4,1,2017,-460,S010057,24,55,DM,M,fresh,B2B328,dirty oatmeal,14922
4,1,2017,-460,S008884,24,35,DM,F,trap,B26A90,dirty oatmeal,10782
4,1,2017,-460,S008899,24,35,DM,F,fresh,B26A90,dirty oatmeal,3558
4,1,2017,-460,S008872,24,44,DM,M,trap,B1E3FA,dirty oatmeal,4444
4,1,2017,-460,S010011,24,23,DM,M,trap,B2CC8F,dirty oatmeal,3865
4,1,2017,-460,S010008,11,23,DM,F,trap,B1F39E,clean oatmeal,11696
4,1,2017,-460,S010021,11,46,DM,M,trap,B26791,clean oatmeal,12329
4,1,2017,-460,S008873,11,76,DM,F,trap,B1FDA8,clean oatmeal,7252
4,1,2017,-460,S010005,7,47,DM,F,trap,B211D3,dirty millet,8853
4,1,2017,-460,S010030,7,27,DO,F,trap,B710EE,dirty millet,20355
4,1,2017,-460,S008881,7,32,DO,F,trap,B1E2E7,dirty millet,11739
4,1,2017,-460,S009062,7,32,DO,F,fresh,B1E2E7,dirty millet,8308
4,1,2017,-460,S008871,7,33,DM,M,trap,B1FF62,dirty millet,9776
4,1,2017,-460,S010071,7,15,DO,F,trap,DO4,dirty millet,12197
4,1,2017,-460,S008883,7,14,DM,M,trap,B2B0AD,dirty millet,8524
4,1,2017,-460,S008801,7,14,DM,M,fresh,B2B0AD,dirty millet,9058
4,1,2017,-460,S008891,7,66,DM,F,trap,B2CFD9,dirty millet,16332
4,1,2017,-460,S008807,7,72,DO,M,trap,B2CCCF,dirty millet,12470
4,1,2017,-460,S010015,7,72,DO,M,fresh,B2CCCF,dirty millet,10886
4,1,2017,-460,S010077,7,75,DM,M,trap,B2D736,dirty millet,15705
4,1,2017,-460,S010067,7,75,DM,M,fresh,B2D736,dirty millet,17711
4,1,2017,-460,S008805,13,12,DM,M,trap,B20FBA,clean oatmeal,9412
4,1,2017,-460,S008894,13,11,PP,M,fresh,B20400,clean oatmeal,1807
4,1,2017,-460,S009080,13,11,PP,M,trap,B20400,clean oatmeal,10520
4,1,2017,-460,S008863,13,66,PP,M,trap,PP5,clean oatmeal,14847
4,1,2017,-460,S010089,13,65,DM,M,trap,B2C50A,clean oatmeal,13138
4,1,2017,-460,S009094,13,61,PP,M,trap,B73E65,clean oatmeal,7168
4,1,2017,-460,S010095,14,41,DO,F,trap,B2C686,clean millet,12732
4,1,2017,-460,S010078,14,41,DO,F,fresh,B2C686,clean millet,9403
4,1,2017,-460,S010009,14,56,DM,M,trap,B2D1BD,clean millet,9610
4,1,2017,-460,S010036,14,52,PP,F,trap,A51565,clean millet,15763
4,1,2017,-460,S010097,14,51,DO,M,fresh,B7144D,clean millet,14336
4,1,2017,-460,S010091,14,51,DO,M,trap,B7144D,clean millet,22890
4,1,2017,-460,S010088,14,33,DO,M,trap,DO6,clean millet,12967
4,1,2017,-460,S010075,14,33,DO,M,fresh,DO6,clean millet,11635
4,1,2017,-460,S008862,14,74,DO,M,trap,B19BB1,clean millet,7916
4,1,2017,-460,S010079,14,74,DO,M,fresh,B19BB1,clean millet,12195
4,1,2017,-460,S010060,14,14,DO,M,trap,DO7,clean millet,5949
4,1,2017,-460,S009073,14,14,DO,M,fresh,DO7,clean millet,9027
4,1,2017,-460,S009071,14,37,DM,F,trap,B20652,clean millet,8276
4,1,2017,-460,S010098,14,72,DO,F,trap,B1DB12,clean millet,9927
4,1,2017,-460,S010096,14,21,DM,M,trap,B2CEEE,clean millet,19013
4,1,2017,-460,S009093,14,21,DM,M,fresh,B2CEEE,clean millet,14998
4,1,2017,-460,S010056,17,57,PP,M,trap,B1F2EB,dirty oatmeal,5448
4,1,2017,-460,S009083,17,47,PP,M,trap,B2C9EC,dirty oatmeal,13838
4,1,2017,-460,S010007,17,54,DM,F,trap,B212CD,dirty oatmeal,12700
4,1,2017,-460,S008890,17,54,DM,F,fresh,B212CD,dirty oatmeal,14605
4,1,2017,-460,S010094,17,41,DM,M,trap,B207F3,dirty oatmeal,13896
4,1,2017,-460,S009060,17,16,DM,M,trap,B20631,dirty oatmeal,12616
4,1,2017,-460,S010066,17,75,DM,F,trap,B6E945,dirty oatmeal,12115
4,1,2017,-460,S010052,17,74,PP,M,trap,B21151,dirty oatmeal,15728
4,1,2017,-460,S010020,17,74,PP,M,fresh,B21151,dirty oatmeal,7025
4,1,2017,-460,S009081,17,11,DM,F,trap,B2CE4E,dirty oatmeal,13478
4,1,2017,-460,S009091,17,11,DM,F,fresh,B2CE4E,dirty oatmeal,9511
4,1,2017,-460,S009082,18,42,DM,F,trap,B1F0CF,dirty millet,10568
4,1,2017,-460,S010042,18,73,DM,F,trap,B25194,dirty millet,4918
4,1,2017,-460,S010045,18,15,DM,F,trap,B1DC8F,dirty millet,14378
4,1,2017,-460,S010080,18,15,DM,F,fresh,B1DC8F,dirty millet,9376
