OTU,Kingdom,Clade1,Clade2,Order,Family,Subfamily,Genus,Species,WTU.kingdom,WTU.clade1,WTU.clade2,WTU.order,WTU.family,WTU.subfamily,WTU.genus,WTU.species
OTU2233,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2515,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2490,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2570,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3398,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3299,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2755,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3208,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3268,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3041,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU206,Viridiplantae,Streptophyta,rosids,Rosales,Cannabaceae,NA,Cannabis,Cannabis_sativa,1,1,10,40,94,132,745,1349
OTU3954,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,NA,NA,NA,1,1,4,20,54,83,511,867
OTU43,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,NA,NA,NA,1,1,4,20,54,83,511,867
OTU109,Viridiplantae,Streptophyta,rosids,Rosales,Rosaceae,Rosoideae,NA,NA,1,1,10,40,96,136,765,1390
OTU2152,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2704,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2442,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2220,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2600,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2302,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2731,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2634,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2459,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3484,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU10482,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2362,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2986,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2746,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2938,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2760,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2714,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3294,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2745,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2227,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4248,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2606,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2506,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3141,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4203,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4121,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4139,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU10048,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU33,Viridiplantae,Streptophyta,rosids,Brassicales,Brassicaceae,NA,NA,NA,1,1,10,30,68,97,588,1010
OTU469,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Asteroideae,NA,NA,1,1,1,3,4,5,113,144
OTU2385,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2209,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3015,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU5926,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2763,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2951,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3421,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3138,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2498,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2360,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4451,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2874,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2709,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2985,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU5176,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3795,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4282,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4968,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU5537,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2340,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2484,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3615,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3573,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4021,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4611,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3358,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU14958,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4478,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4654,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3676,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4126,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU7333,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU6301,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU10154,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,Copiapoa,Copiapoa_humilis,1,1,11,47,116,169,831,1491
OTU4444,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU5251,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2620,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2573,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2911,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2589,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4062,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3273,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3941,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4848,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3770,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU15105,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3838,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3703,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4042,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3596,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU5509,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4520,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3337,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3999,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4416,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4186,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU5360,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU5003,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4246,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4781,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU6655,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU5868,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU5015,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU125,Viridiplantae,Streptophyta,rosids,Rosales,Rosaceae,Maloideae,Prunus,NA,1,1,10,40,96,135,756,1370
OTU12947,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU5562,Viridiplantae,Streptophyta,NA,NA,NA,NA,NA,NA,1,1,11,58,141,200,898,1596
OTU2458,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,NA,NA,NA,1,1,1,3,4,10,171,238
OTU2928,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU2821,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3567,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU6822,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3329,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4110,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3400,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3522,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4408,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU5227,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4153,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3476,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3465,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU6232,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4810,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4232,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4269,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU5455,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4549,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU5418,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3819,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU6849,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4642,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4516,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4678,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4430,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU6714,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4693,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4553,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU6153,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4601,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU6274,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU6106,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU16108,Viridiplantae,Streptophyta,NA,NA,NA,NA,NA,NA,1,1,11,58,141,200,898,1596
OTU6666,Viridiplantae,Streptophyta,asterids,NA,NA,NA,NA,NA,1,1,1,11,42,60,334,488
OTU3174,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3223,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU5920,Viridiplantae,Streptophyta,NA,Caryophyllales,NA,NA,NA,NA,1,1,11,47,123,181,870,1553
OTU3188,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3586,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU5075,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU6258,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3901,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4952,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3462,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU7018,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4658,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU7392,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU5383,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU5444,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU6485,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU7673,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4133,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU5888,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3856,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU5849,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4236,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU16242,Viridiplantae,Streptophyta,rosids,Rosales,Rosaceae,Rosoideae,NA,NA,1,1,10,40,96,136,765,1390
OTU4431,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU7518,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU6751,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU7529,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU7830,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4765,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4625,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU6501,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU8349,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU5283,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU4745,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU10601,Viridiplantae,Streptophyta,rosids,Malpighiales,Salicaceae,NA,Salix,NA,1,1,10,36,85,119,716,1305
OTU6568,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU6419,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU7451,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU6452,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU8235,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU7078,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU7317,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU8733,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU7264,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU7568,Viridiplantae,Streptophyta,NA,NA,NA,NA,NA,NA,1,1,11,58,141,200,898,1596
OTU6930,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU6924,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU7353,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU6780,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU15,Viridiplantae,Streptophyta,NA,Caryophyllales,Amaranthaceae,NA,Amaranthus,Amaranthus_greggii,1,1,11,47,115,168,827,1482
OTU3892,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3987,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3540,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU218,Viridiplantae,Streptophyta,commelinids,Poales,NA,NA,NA,NA,1,1,4,20,56,85,513,869
OTU11257,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
OTU3592,Viridiplantae,Streptophyta,NA,Caryophyllales,Cactaceae,Cactoideae,NA,NA,1,1,11,47,116,169,837,1497
