OTU,SampleID,Reads
OTU16237,S008892,2
OTU8255,S008892,2
OTU8958,S008892,2
OTU16193,S008892,2
OTU10204,S008892,2
OTU10206,S008892,2
OTU15300,S008892,2
OTU10155,S008892,2
OTU15594,S008892,2
OTU15890,S008892,2
OTU9183,S008892,2
OTU12576,S008892,2
OTU10649,S008892,2
OTU10764,S008892,2
OTU8847,S008892,2
OTU10250,S008892,2
OTU13340,S008892,2
OTU3,S008892,1
OTU6,S008892,1
OTU45,S008892,1
OTU127,S008892,1
OTU43,S008892,1
OTU317,S008892,1
OTU9479,S008892,1
OTU1183,S008892,1
OTU1058,S008892,1
OTU960,S008892,1
OTU994,S008892,1
OTU1216,S008892,1
OTU1921,S008892,1
OTU206,S008892,1
OTU3824,S008892,1
OTU67,S008893,15267
OTU413,S008893,116
OTU3097,S008893,21
OTU2488,S008893,20
OTU2667,S008893,16
OTU2787,S008893,14
OTU3648,S008893,11
OTU5994,S008893,11
OTU3305,S008893,11
OTU6381,S008893,9
OTU4278,S008893,8
OTU5938,S008893,6
OTU4769,S008893,5
OTU13454,S008893,4
OTU7146,S008893,3
OTU7268,S008893,3
OTU7112,S008893,3
OTU7021,S008893,3
OTU16586,S008893,3
OTU9794,S008893,3
OTU7243,S008893,3
OTU12472,S008893,3
OTU60,S008893,2
OTU12231,S008893,2
OTU9156,S008893,2
OTU8594,S008893,2
OTU8632,S008893,2
OTU7824,S008893,2
OTU9261,S008893,2
OTU11480,S008893,2
OTU7737,S008893,2
OTU15079,S008893,2
OTU14243,S008893,2
OTU10400,S008893,2
OTU10203,S008893,2
OTU13836,S008893,2
OTU16126,S008893,2
OTU13705,S008893,2
OTU12090,S008893,2
OTU13820,S008893,2
OTU8172,S008893,2
OTU10652,S008893,2
OTU14184,S008893,2
OTU15827,S008893,2
OTU11197,S008893,2
OTU13129,S008893,2
OTU16660,S008893,2
OTU15162,S008893,2
OTU11552,S008893,2
OTU11603,S008893,2
OTU14877,S008893,2
OTU7735,S008893,2
OTU9252,S008893,2
OTU11121,S008893,2
OTU1,S008893,1
OTU5,S008893,1
OTU29,S008893,1
OTU44,S008893,1
OTU54,S008893,1
OTU9479,S008893,1
OTU12400,S008893,1
OTU9657,S008893,1
OTU8839,S008893,1
OTU12614,S008893,1
OTU109,S008893,1
OTU8724,S008893,1
OTU1284,S008894,895
OTU361,S008894,379
OTU30817,S008894,149
OTU97283,S008894,125
OTU932,S008894,54
OTU100514,S008894,40
OTU52764,S008894,37
OTU3071,S008894,24
OTU86508,S008894,19
OTU10477,S008894,18
OTU666,S008894,17
OTU69806,S008894,11
OTU4983,S008894,10
OTU35631,S008894,8
OTU12636,S008894,5
OTU54107,S008894,2
OTU17078,S008894,2
OTU836,S008894,2
OTU100909,S008894,2
OTU9572,S008894,2
OTU1370,S008894,1
OTU79705,S008894,1
OTU52261,S008894,1
OTU13174,S008894,1
OTU41270,S008894,1
OTU25674,S008894,1
OTU36,S008895,26902
OTU9076,S008895,41
OTU5117,S008895,5
OTU7343,S008895,5
OTU4985,S008895,4
OTU6505,S008895,4
OTU7960,S008895,4
OTU5591,S008895,4
OTU7938,S008895,4
OTU12400,S008895,3
OTU15818,S008895,3
OTU5693,S008895,3
OTU5603,S008895,3
OTU9676,S008895,3
OTU5913,S008895,3
OTU7561,S008895,3
OTU6183,S008895,3
OTU16102,S008895,3
OTU13709,S008895,3
OTU6872,S008895,3
OTU5918,S008895,3
OTU6216,S008895,3
OTU6084,S008895,3
OTU5837,S008895,3
OTU5982,S008895,3
OTU6409,S008895,3
OTU10588,S008895,3
OTU1687,S008895,2
OTU9479,S008895,2
OTU8436,S008895,2
OTU16202,S008895,2
OTU15457,S008895,2
OTU12228,S008895,2
OTU9154,S008895,2
OTU9580,S008895,2
OTU12083,S008895,2
OTU17081,S008895,2
OTU11053,S008895,2
OTU8948,S008895,2
OTU14362,S008895,2
OTU9621,S008895,2
OTU16990,S008895,2
OTU13841,S008895,2
OTU13197,S008895,2
OTU13217,S008895,2
OTU16118,S008895,2
OTU8035,S008895,2
OTU12605,S008895,2
OTU12072,S008895,2
OTU9548,S008895,2
OTU10665,S008895,2
OTU16201,S008895,2
OTU9709,S008895,2
OTU9763,S008895,2
OTU10408,S008895,2
OTU16064,S008895,2
OTU14462,S008895,2
OTU10562,S008895,2
OTU16976,S008895,2
OTU10128,S008895,2
OTU9881,S008895,2
OTU10709,S008895,2
OTU16381,S008895,2
OTU10233,S008895,2
OTU13610,S008895,2
OTU14961,S008895,2
OTU8053,S008895,2
OTU10364,S008895,2
OTU14829,S008895,2
OTU7822,S008895,2
OTU8277,S008895,2
OTU11059,S008895,2
OTU13534,S008895,2
OTU10604,S008895,2
OTU8212,S008895,2
OTU10583,S008895,2
OTU7780,S008895,2
OTU13486,S008895,2
OTU9186,S008895,2
OTU9989,S008895,2
OTU13650,S008895,2
OTU8661,S008895,2
OTU13449,S008895,2
OTU8780,S008895,2
OTU14244,S008895,2
OTU1,S008895,1
OTU2,S008895,1
OTU8,S008895,1
OTU22,S008895,1
OTU13,S008895,1
OTU37,S008895,1
OTU127,S008895,1
OTU72,S008895,1
OTU70,S008895,1
OTU12231,S008895,1
OTU13454,S008895,1
OTU13545,S008895,1
OTU8839,S008895,1
OTU9729,S008895,1
OTU12614,S008895,1
OTU8724,S008895,1
OTU14264,S008895,1
OTU17007,S008895,1
OTU10587,S008895,1
OTU13459,S008895,1
OTU9992,S008895,1
OTU127,S008896,23374
OTU321,S008896,133
OTU287,S008896,128
OTU551,S008896,123
OTU323,S008896,121
OTU376,S008896,115
OTU330,S008896,111
OTU356,S008896,107
OTU386,S008896,105
OTU598,S008896,105
OTU352,S008896,105
OTU451,S008896,99
OTU332,S008896,98
OTU540,S008896,90
OTU375,S008896,90
OTU414,S008896,88
OTU476,S008896,88
OTU594,S008896,87
OTU485,S008896,86
OTU535,S008896,85
OTU456,S008896,85
OTU536,S008896,84
OTU474,S008896,83
OTU740,S008896,83
OTU769,S008896,82
OTU614,S008896,82
OTU622,S008896,82
OTU592,S008896,81
OTU651,S008896,80
OTU747,S008896,79
OTU633,S008896,78
OTU484,S008896,76
OTU602,S008896,75
OTU606,S008896,75
OTU757,S008896,75
OTU548,S008896,73
OTU731,S008896,73
OTU683,S008896,73
OTU647,S008896,72
OTU712,S008896,71
OTU673,S008896,71
OTU1337,S008896,70
OTU832,S008896,70
OTU787,S008896,70
OTU785,S008896,68
OTU632,S008896,68
OTU662,S008896,67
OTU707,S008896,67
OTU904,S008896,66
OTU783,S008896,65
OTU922,S008896,64
OTU833,S008896,63
OTU682,S008896,63
OTU853,S008896,63
OTU649,S008896,62
OTU927,S008896,61
OTU852,S008896,59
OTU792,S008896,58
OTU1142,S008896,58
OTU906,S008896,58
OTU930,S008896,56
OTU855,S008896,55
OTU917,S008896,55
OTU1066,S008896,54
OTU912,S008896,54
OTU975,S008896,53
OTU865,S008896,52
OTU947,S008896,51
OTU921,S008896,51
OTU1069,S008896,51
OTU958,S008896,51
OTU918,S008896,51
OTU1033,S008896,50
OTU1160,S008896,50
OTU1113,S008896,49
OTU940,S008896,49
OTU1120,S008896,48
OTU1091,S008896,48
OTU1031,S008896,47
OTU1192,S008896,46
OTU1078,S008896,45
OTU1127,S008896,45
OTU1092,S008896,44
OTU1173,S008896,43
OTU1204,S008896,42
OTU1275,S008896,41
OTU1252,S008896,41
OTU1231,S008896,40
OTU1242,S008896,40
OTU1269,S008896,38
OTU1353,S008896,36
OTU1340,S008896,35
OTU1248,S008896,35
OTU1469,S008896,34
OTU1357,S008896,33
OTU1328,S008896,32
OTU1869,S008896,32
OTU1352,S008896,31
OTU1439,S008896,31
OTU1555,S008896,30
OTU1434,S008896,30
OTU1562,S008896,30
OTU1507,S008896,28
OTU1517,S008896,28
OTU1633,S008896,28
OTU1666,S008896,27
OTU1624,S008896,25
OTU1604,S008896,25
OTU1599,S008896,25
OTU1650,S008896,24
OTU1837,S008896,24
OTU1841,S008896,24
OTU2224,S008896,24
OTU1913,S008896,23
OTU2164,S008896,22
OTU2280,S008896,22
OTU2532,S008896,22
OTU1784,S008896,22
OTU1683,S008896,21
OTU1951,S008896,20
OTU2213,S008896,20
OTU2056,S008896,19
OTU2204,S008896,19
OTU2124,S008896,19
OTU2462,S008896,18
OTU1919,S008896,18
OTU3026,S008896,18
OTU2225,S008896,18
OTU2199,S008896,17
OTU2242,S008896,17
OTU2357,S008896,17
OTU2289,S008896,16
OTU2337,S008896,16
OTU2455,S008896,16
OTU2517,S008896,15
OTU2355,S008896,15
OTU2349,S008896,15
OTU2780,S008896,15
OTU2554,S008896,14
OTU2447,S008896,14
OTU2690,S008896,13
OTU2557,S008896,13
OTU3049,S008896,12
OTU2612,S008896,12
OTU2598,S008896,12
OTU2694,S008896,12
OTU2767,S008896,12
OTU2792,S008896,11
OTU2579,S008896,11
OTU3336,S008896,11
OTU3417,S008896,11
OTU3197,S008896,11
OTU3979,S008896,10
OTU2887,S008896,10
OTU3002,S008896,10
OTU2803,S008896,10
OTU3375,S008896,10
OTU3636,S008896,9
OTU3045,S008896,9
OTU3022,S008896,9
OTU3655,S008896,8
OTU10,S008896,7
OTU3544,S008896,7
OTU4606,S008896,7
OTU4305,S008896,6
OTU3993,S008896,6
OTU3812,S008896,6
OTU3969,S008896,6
OTU4304,S008896,6
OTU4662,S008896,5
OTU4159,S008896,5
OTU4768,S008896,4
OTU4823,S008896,4
OTU44,S008896,3
OTU14784,S008896,3
OTU6513,S008896,3
OTU10787,S008896,3
OTU6110,S008896,3
OTU6483,S008896,3
OTU5939,S008896,3
OTU7481,S008896,3
OTU14251,S008896,2
OTU8702,S008896,2
OTU16522,S008896,2
OTU16967,S008896,2
OTU12002,S008896,2
OTU9818,S008896,2
OTU13344,S008896,2
OTU14390,S008896,2
OTU14193,S008896,2
OTU13641,S008896,2
OTU11701,S008896,2
OTU11219,S008896,2
OTU8354,S008896,2
OTU11366,S008896,2
OTU16011,S008896,2
OTU11433,S008896,2
OTU12556,S008896,2
OTU7932,S008896,2
OTU15830,S008896,2
OTU10027,S008896,2
OTU7874,S008896,2
OTU12664,S008896,2
OTU13240,S008896,2
OTU8781,S008896,2
OTU1,S008896,1
OTU6,S008896,1
OTU9,S008896,1
OTU11,S008896,1
OTU28,S008896,1
OTU57,S008896,1
OTU55,S008896,1
OTU140,S008896,1
OTU86,S008896,1
OTU225,S008896,1
OTU9479,S008896,1
OTU7505,S008896,1
OTU9904,S008896,1
OTU16471,S008896,1
OTU8724,S008896,1
OTU2840,S008896,1
OTU14674,S008896,1
OTU339,S008896,1
OTU4317,S008896,1
OTU3284,S008896,1
OTU4613,S008896,1
OTU47,S008897,22321
OTU4433,S008897,13
OTU5136,S008897,5
OTU4829,S008897,4
OTU12231,S008897,3
OTU6244,S008897,3
OTU15045,S008897,3
OTU7095,S008897,3
OTU6481,S008897,3
OTU5688,S008897,3
OTU15175,S008897,3
OTU12517,S008897,3
OTU7122,S008897,3
OTU7335,S008897,3
OTU14499,S008897,2
OTU9295,S008897,2
OTU16564,S008897,2
OTU9257,S008897,2
OTU14404,S008897,2
OTU13438,S008897,2
OTU15557,S008897,2
OTU16497,S008897,2
OTU7686,S008897,2
OTU12495,S008897,2
OTU13511,S008897,2
OTU11574,S008897,2
OTU8922,S008897,2
OTU16330,S008897,2
OTU10852,S008897,2
OTU10519,S008897,2
OTU11258,S008897,2
OTU11562,S008897,2
OTU10797,S008897,2
OTU16438,S008897,2
OTU10785,S008897,2
OTU15425,S008897,2
OTU12809,S008897,2
OTU11262,S008897,2
OTU15192,S008897,2
OTU4,S008897,1
OTU19,S008897,1
OTU13545,S008897,1
OTU8839,S008897,1
OTU8517,S008897,1
OTU9729,S008897,1
OTU7525,S008897,1
OTU66,S008898,11734
OTU440,S008898,767
OTU100,S008898,647
OTU103,S008898,586
OTU117,S008898,436
OTU664,S008898,302
OTU182,S008898,162
OTU188,S008898,129
OTU194,S008898,115
OTU2834,S008898,111
OTU390,S008898,90
OTU421,S008898,87
OTU1835,S008898,72
OTU2739,S008898,62
OTU411,S008898,61
OTU2790,S008898,51
OTU621,S008898,50
OTU4224,S008898,40
OTU728,S008898,37
OTU2079,S008898,35
OTU7277,S008898,34
OTU3443,S008898,32
OTU5174,S008898,32
OTU6784,S008898,32
OTU4453,S008898,31
OTU3575,S008898,30
OTU4494,S008898,30
OTU8156,S008898,30
OTU5324,S008898,30
OTU1266,S008898,29
OTU5191,S008898,29
OTU3704,S008898,29
OTU1727,S008898,28
OTU3702,S008898,28
OTU4028,S008898,27
OTU4762,S008898,27
OTU4380,S008898,27
OTU7454,S008898,26
OTU7635,S008898,26
OTU1477,S008898,26
OTU6540,S008898,26
OTU3221,S008898,25
OTU4879,S008898,25
OTU2618,S008898,25
OTU5452,S008898,24
OTU10088,S008898,24
OTU6916,S008898,24
OTU4496,S008898,24
OTU4116,S008898,24
OTU10476,S008898,24
OTU14506,S008898,24
OTU8891,S008898,24
OTU1410,S008898,23
OTU8881,S008898,23
OTU5079,S008898,23
OTU4804,S008898,22
OTU4350,S008898,22
OTU1635,S008898,22
OTU4742,S008898,22
OTU11842,S008898,22
OTU2058,S008898,22
OTU4368,S008898,22
OTU1728,S008898,22
OTU1762,S008898,22
OTU5058,S008898,22
OTU4880,S008898,21
OTU5312,S008898,21
OTU1709,S008898,21
OTU7316,S008898,21
OTU3983,S008898,21
OTU5276,S008898,21
OTU6957,S008898,20
OTU11741,S008898,20
OTU13878,S008898,20
OTU16388,S008898,20
OTU5588,S008898,20
OTU4429,S008898,19
OTU1682,S008898,19
OTU1975,S008898,19
OTU3809,S008898,19
OTU2273,S008898,19
OTU2064,S008898,19
OTU14025,S008898,19
OTU2015,S008898,19
OTU1741,S008898,18
OTU7383,S008898,18
OTU1745,S008898,18
OTU2941,S008898,18
OTU4868,S008898,18
OTU2042,S008898,18
OTU2559,S008898,18
OTU7338,S008898,17
OTU6750,S008898,17
OTU2306,S008898,17
OTU13506,S008898,17
OTU8432,S008898,17
OTU5613,S008898,17
OTU2162,S008898,17
OTU1908,S008898,17
OTU2221,S008898,17
OTU2616,S008898,17
OTU4328,S008898,16
OTU5031,S008898,16
OTU6584,S008898,16
OTU1986,S008898,16
OTU2090,S008898,16
OTU3165,S008898,16
OTU6023,S008898,16
OTU12116,S008898,15
OTU5654,S008898,15
OTU4347,S008898,15
OTU7061,S008898,15
OTU5456,S008898,15
OTU3306,S008898,15
OTU8544,S008898,15
OTU2932,S008898,15
OTU8579,S008898,15
OTU2556,S008898,15
OTU3890,S008898,15
OTU7674,S008898,14
OTU12367,S008898,14
OTU7462,S008898,14
OTU2167,S008898,14
OTU2489,S008898,14
OTU2155,S008898,14
OTU5854,S008898,14
OTU2769,S008898,14
OTU2740,S008898,14
OTU2112,S008898,13
OTU2104,S008898,13
OTU2292,S008898,13
OTU2724,S008898,13
OTU3186,S008898,13
OTU2415,S008898,13
OTU2297,S008898,13
OTU2069,S008898,12
OTU5783,S008898,12
OTU6315,S008898,12
OTU2148,S008898,12
OTU2211,S008898,12
OTU2180,S008898,12
OTU2597,S008898,12
OTU2374,S008898,12
OTU2494,S008898,12
OTU2882,S008898,12
OTU3303,S008898,12
OTU9282,S008898,11
OTU2131,S008898,11
OTU7902,S008898,11
OTU14153,S008898,11
OTU2980,S008898,11
OTU2563,S008898,11
OTU2742,S008898,11
OTU11044,S008898,11
OTU3666,S008898,11
OTU2793,S008898,11
OTU3318,S008898,11
OTU13130,S008898,10
OTU2300,S008898,10
OTU2560,S008898,10
OTU2348,S008898,10
OTU3032,S008898,10
OTU3491,S008898,10
OTU2707,S008898,10
OTU3415,S008898,10
OTU5599,S008898,10
OTU2904,S008898,9
OTU4427,S008898,9
OTU2818,S008898,9
OTU2307,S008898,9
OTU2711,S008898,9
OTU3123,S008898,9
OTU11500,S008898,9
OTU3373,S008898,9
OTU3359,S008898,9
OTU3267,S008898,9
OTU3276,S008898,9
OTU3517,S008898,9
OTU3684,S008898,9
OTU2588,S008898,9
OTU7418,S008898,9
OTU3251,S008898,9
OTU4405,S008898,9
OTU12633,S008898,8
OTU2678,S008898,8
OTU3126,S008898,8
OTU2822,S008898,8
OTU9407,S008898,8
OTU4761,S008898,8
OTU2848,S008898,8
OTU3249,S008898,8
OTU3688,S008898,8
OTU3205,S008898,8
OTU3312,S008898,8
OTU3467,S008898,8
OTU7109,S008898,8
OTU14795,S008898,8
OTU3569,S008898,8
OTU3232,S008898,8
OTU3788,S008898,8
OTU2516,S008898,7
OTU7879,S008898,7
OTU2969,S008898,7
OTU3286,S008898,7
OTU3216,S008898,7
OTU7970,S008898,7
OTU4048,S008898,7
OTU4151,S008898,7
OTU3512,S008898,7
OTU5395,S008898,7
OTU4843,S008898,7
OTU4639,S008898,7
OTU3255,S008898,6
OTU4058,S008898,6
OTU3561,S008898,6
OTU4074,S008898,6
OTU8827,S008898,6
OTU3933,S008898,6
OTU4101,S008898,6
OTU4182,S008898,6
OTU5835,S008898,6
OTU6430,S008898,6
OTU5366,S008898,6
OTU16809,S008898,6
OTU4395,S008898,6
OTU3751,S008898,6
OTU3745,S008898,6
OTU4367,S008898,6
OTU5361,S008898,6
OTU6546,S008898,6
OTU12231,S008898,5
OTU9349,S008898,5
OTU3288,S008898,5
OTU11674,S008898,5
OTU11514,S008898,5
OTU3495,S008898,5
OTU12256,S008898,5
OTU3523,S008898,5
OTU14323,S008898,5
OTU3924,S008898,5
OTU6068,S008898,5
OTU4145,S008898,5
OTU3472,S008898,5
OTU5156,S008898,5
OTU4050,S008898,5
OTU5901,S008898,5
OTU9258,S008898,5
OTU5093,S008898,5
OTU9538,S008898,5
OTU10967,S008898,5
OTU6114,S008898,5
OTU4783,S008898,5
OTU4324,S008898,5
OTU5704,S008898,5
OTU16343,S008898,5
OTU6012,S008898,5
OTU5563,S008898,5
OTU7147,S008898,5
OTU7606,S008898,5
OTU4345,S008898,5
OTU6113,S008898,5
OTU6024,S008898,5
OTU14855,S008898,5
OTU177,S008898,4
OTU3675,S008898,4
OTU4415,S008898,4
OTU10738,S008898,4
OTU4644,S008898,4
OTU4546,S008898,4
OTU6574,S008898,4
OTU3981,S008898,4
OTU4790,S008898,4
OTU15994,S008898,4
OTU6651,S008898,4
OTU4989,S008898,4
OTU5095,S008898,4
OTU4439,S008898,4
OTU4360,S008898,4
OTU6844,S008898,4
OTU6601,S008898,4
OTU3848,S008898,4
OTU5054,S008898,4
OTU7523,S008898,4
OTU7369,S008898,4
OTU7265,S008898,4
OTU5848,S008898,4
OTU4982,S008898,4
OTU4390,S008898,4
OTU11708,S008898,4
OTU5601,S008898,4
OTU5751,S008898,4
OTU5343,S008898,4
OTU5632,S008898,4
OTU5483,S008898,4
OTU5890,S008898,4
OTU10954,S008898,4
OTU12400,S008898,3
OTU15859,S008898,3
OTU4078,S008898,3
OTU3716,S008898,3
OTU3480,S008898,3
OTU4095,S008898,3
OTU5021,S008898,3
OTU4038,S008898,3
OTU4293,S008898,3
OTU4454,S008898,3
OTU4577,S008898,3
OTU5267,S008898,3
OTU3885,S008898,3
OTU6116,S008898,3
OTU5055,S008898,3
OTU4752,S008898,3
OTU4876,S008898,3
OTU5436,S008898,3
OTU5815,S008898,3
OTU7280,S008898,3
OTU4254,S008898,3
OTU7430,S008898,3
OTU4777,S008898,3
OTU4865,S008898,3
OTU5874,S008898,3
OTU5795,S008898,3
OTU4194,S008898,3
OTU4646,S008898,3
OTU4160,S008898,3
OTU11933,S008898,3
OTU7062,S008898,3
OTU4934,S008898,3
OTU6388,S008898,3
OTU9778,S008898,3
OTU4901,S008898,3
OTU5602,S008898,3
OTU5239,S008898,3
OTU13544,S008898,3
OTU6460,S008898,3
OTU16763,S008898,3
OTU6312,S008898,3
OTU6514,S008898,3
OTU7683,S008898,3
OTU10087,S008898,3
OTU8223,S008898,3
OTU10841,S008898,3
OTU11110,S008898,3
OTU6510,S008898,3
OTU3578,S008898,3
OTU13070,S008898,3
OTU6355,S008898,3
OTU9275,S008898,3
OTU7795,S008898,3
OTU7258,S008898,3
OTU8681,S008898,3
OTU13834,S008898,3
OTU9680,S008898,3
OTU13047,S008898,3
OTU10668,S008898,3
OTU16215,S008898,3
OTU11106,S008898,3
OTU6034,S008898,3
OTU6649,S008898,3
OTU16403,S008898,3
OTU8199,S008898,3
OTU14466,S008898,3
OTU9657,S008898,2
OTU3289,S008898,2
OTU4588,S008898,2
OTU7136,S008898,2
OTU5474,S008898,2
OTU5335,S008898,2
OTU16782,S008898,2
OTU4400,S008898,2
OTU5222,S008898,2
OTU8624,S008898,2
OTU4147,S008898,2
OTU4684,S008898,2
OTU6494,S008898,2
OTU5646,S008898,2
OTU5973,S008898,2
OTU6523,S008898,2
OTU16111,S008898,2
OTU5060,S008898,2
OTU6372,S008898,2
OTU6503,S008898,2
OTU11987,S008898,2
OTU7371,S008898,2
OTU5185,S008898,2
OTU7458,S008898,2
OTU6569,S008898,2
OTU8908,S008898,2
OTU6558,S008898,2
OTU6474,S008898,2
OTU10733,S008898,2
OTU11129,S008898,2
OTU6833,S008898,2
OTU5165,S008898,2
OTU5610,S008898,2
OTU11655,S008898,2
OTU8150,S008898,2
OTU15421,S008898,2
OTU6187,S008898,2
OTU12171,S008898,2
OTU16393,S008898,2
OTU6471,S008898,2
OTU8459,S008898,2
OTU6461,S008898,2
OTU11482,S008898,2
OTU14552,S008898,2
OTU11718,S008898,2
OTU15604,S008898,2
OTU12426,S008898,2
OTU5889,S008898,2
OTU7034,S008898,2
OTU13615,S008898,2
OTU12737,S008898,2
OTU11181,S008898,2
OTU8637,S008898,2
OTU5942,S008898,2
OTU16094,S008898,2
OTU16265,S008898,2
OTU5993,S008898,2
OTU7556,S008898,2
OTU15623,S008898,2
OTU13588,S008898,2
OTU15705,S008898,2
OTU6074,S008898,2
OTU6996,S008898,2
OTU9967,S008898,2
OTU9187,S008898,2
OTU10594,S008898,2
OTU9016,S008898,2
OTU9110,S008898,2
OTU9829,S008898,2
OTU9153,S008898,2
OTU12715,S008898,2
OTU12257,S008898,2
OTU16356,S008898,2
OTU13890,S008898,2
OTU10363,S008898,2
OTU11937,S008898,2
OTU15563,S008898,2
OTU12108,S008898,2
OTU8106,S008898,2
OTU16519,S008898,2
OTU8158,S008898,2
OTU16624,S008898,2
OTU11795,S008898,2
OTU10956,S008898,2
OTU11593,S008898,2
OTU11331,S008898,2
OTU8152,S008898,2
OTU12926,S008898,2
OTU16907,S008898,2
OTU13972,S008898,2
OTU13518,S008898,2
OTU8773,S008898,2
OTU16235,S008898,2
OTU13873,S008898,2
OTU8473,S008898,2
OTU13626,S008898,2
OTU13553,S008898,2
OTU14794,S008898,2
OTU14114,S008898,2
OTU11419,S008898,2
OTU12247,S008898,2
OTU11251,S008898,2
OTU13805,S008898,2
OTU15938,S008898,2
OTU15339,S008898,2
OTU15997,S008898,2
OTU15574,S008898,2
OTU10717,S008898,2
OTU14816,S008898,2
OTU9832,S008898,2
OTU12698,S008898,2
OTU13809,S008898,2
OTU9888,S008898,2
OTU9358,S008898,2
OTU7989,S008898,2
OTU14524,S008898,2
OTU15922,S008898,2
OTU12732,S008898,2
OTU15448,S008898,2
OTU10493,S008898,2
OTU8051,S008898,2
OTU7717,S008898,2
OTU13543,S008898,2
OTU1,S008898,1
OTU20,S008898,1
OTU9,S008898,1
OTU11,S008898,1
OTU55,S008898,1
OTU72,S008898,1
OTU9479,S008898,1
OTU13454,S008898,1
OTU13545,S008898,1
OTU8839,S008898,1
OTU8517,S008898,1
OTU5653,S008898,1
OTU12346,S008898,1
OTU4811,S008898,1
OTU4631,S008898,1
OTU6323,S008898,1
OTU6772,S008898,1
OTU15478,S008898,1
OTU7336,S008898,1
OTU14811,S008898,1
OTU14001,S008898,1
OTU13372,S008898,1
OTU7457,S008898,1
OTU6969,S008898,1
OTU17092,S008898,1
OTU12889,S008898,1
OTU12051,S008898,1
OTU6825,S008898,1
OTU16348,S008898,1
OTU9383,S008898,1
OTU12506,S008898,1
OTU13643,S008898,1
OTU10559,S008898,1
OTU16042,S008898,1
OTU16066,S008898,1
OTU15953,S008898,1
OTU15246,S008898,1
OTU7367,S008898,1
OTU11107,S008898,1
OTU16913,S008898,1
OTU12765,S008898,1
OTU12709,S008898,1
OTU8817,S008898,1
OTU1764,S008898,1
OTU9230,S008898,1
OTU10686,S008898,1
OTU7911,S008898,1
OTU13662,S008898,1
OTU13153,S008898,1
OTU14412,S008898,1
OTU14675,S008898,1
OTU10950,S008898,1
OTU11945,S008898,1
OTU11476,S008898,1
OTU12920,S008898,1
OTU11737,S008898,1
OTU13068,S008898,1
OTU15974,S008898,1
OTU11707,S008898,1
OTU10323,S008898,1
OTU14866,S008898,1
OTU13731,S008898,1
OTU13501,S008898,1
OTU16353,S008898,1
OTU16886,S008898,1
OTU11438,S008898,1
OTU9732,S008898,1
OTU15718,S008898,1
OTU16223,S008898,1
OTU15370,S008898,1
OTU10662,S008898,1
OTU10918,S008898,1
OTU10750,S008898,1
OTU11017,S008898,1
OTU13351,S008898,1
OTU10516,S008898,1
OTU13262,S008898,1
OTU4438,S008898,1
OTU7420,S008898,1
OTU3728,S008898,1
OTU3259,S008898,1
OTU16085,S008898,1
OTU94346,S008899,1317
OTU14879,S008899,410
OTU361,S008899,318
OTU666,S008899,214
OTU61757,S008899,171
OTU107130,S008899,102
OTU150,S008899,89
OTU1370,S008899,79
OTU763,S008899,73
OTU1859,S008899,73
OTU575,S008899,71
OTU97283,S008899,58
OTU932,S008899,55
OTU52764,S008899,53
OTU94020,S008899,39
OTU58181,S008899,34
OTU52261,S008899,25
OTU107126,S008899,23
OTU1447,S008899,20
OTU80767,S008899,19
OTU3556,S008899,18
OTU54107,S008899,17
OTU17078,S008899,17
OTU181,S008899,16
OTU941,S008899,16
OTU83482,S008899,13
OTU598,S008899,11
OTU30817,S008899,11
OTU56336,S008899,9
OTU5141,S008899,9
OTU788,S008899,9
OTU956,S008899,8
OTU106540,S008899,8
OTU95452,S008899,7
OTU78887,S008899,7
OTU45559,S008899,6
OTU83428,S008899,6
OTU75799,S008899,6
OTU28491,S008899,6
OTU107119,S008899,6
OTU78221,S008899,5
OTU60927,S008899,5
OTU93660,S008899,5
OTU74623,S008899,5
OTU94360,S008899,4
OTU69806,S008899,4
OTU5558,S008899,4
OTU107122,S008899,4
OTU1284,S008899,3
OTU24429,S008899,3
OTU3013,S008899,3
OTU98211,S008899,3
OTU79705,S008899,2
OTU63,S008899,2
OTU42816,S008899,2
OTU107120,S008899,2
OTU96086,S008899,2
OTU52909,S008899,2
OTU88760,S008899,2
OTU26314,S008899,2
OTU44583,S008899,2
OTU20441,S008899,2
OTU65997,S008899,2
OTU67354,S008899,2
OTU75708,S008899,2
OTU66369,S008899,2
OTU16679,S008899,1
OTU35213,S008899,1
OTU10790,S008899,1
OTU17696,S008899,1
OTU6639,S008899,1
OTU53052,S008899,1
OTU80517,S008899,1
OTU30009,S008899,1
OTU35442,S008899,1
OTU86508,S008899,1
OTU776,S008899,1
OTU11114,S008899,1
OTU79531,S008899,1
OTU98180,S008899,1
OTU22483,S008899,1
OTU47141,S008899,1
OTU419,S008899,1
OTU63151,S008899,1
OTU40964,S008899,1
OTU17832,S008899,1
OTU68030,S008899,1
OTU2700,S008899,1
OTU5539,S008899,1
OTU41270,S008899,1
OTU14533,S008899,1
OTU21632,S008899,1
OTU46867,S008899,1
OTU107107,S008899,1
OTU62894,S008899,1
OTU1165,S008899,1
OTU20438,S008899,1
OTU14384,S008899,1
OTU63841,S008899,1
OTU35,S009000,20265
OTU15256,S009000,249
OTU555,S009000,123
OTU1089,S009000,70
OTU797,S009000,60
OTU8720,S009000,55
OTU16803,S009000,55
OTU11092,S009000,55
OTU13701,S009000,45
