OTU,SampleID,Reads,DataFrame
OTU595,S008802,25,spring2017
OTU2,S008802,23,spring2017
OTU1110,S008802,20,spring2017
OTU2023,S008802,18,spring2017
OTU1958,S008802,18,spring2017
OTU684,S008802,17,spring2017
OTU753,S008802,16,spring2017
OTU347,S008802,16,spring2017
OTU1285,S008802,15,spring2017
OTU1332,S008802,14,spring2017
OTU2580,S008802,14,spring2017
OTU251,S008802,13,spring2017
OTU614,S008802,13,spring2017
OTU2768,S008802,13,spring2017
OTU802,S008802,12,spring2017
OTU867,S008802,11,spring2017
OTU3374,S008802,11,spring2017
OTU331,S008802,10,spring2017
OTU1730,S008802,10,spring2017
OTU384,S008802,10,spring2017
OTU741,S008802,10,spring2017
OTU997,S008802,10,spring2017
OTU460,S008802,10,spring2017
OTU2981,S008802,10,spring2017
OTU1197,S008802,9,spring2017
OTU1242,S008802,9,spring2017
OTU1493,S008802,9,spring2017
OTU1310,S008802,9,spring2017
OTU1249,S008802,9,spring2017
OTU4798,S008802,9,spring2017
OTU872,S008802,8,spring2017
OTU244,S008802,8,spring2017
OTU1145,S008802,8,spring2017
OTU451,S008802,8,spring2017
OTU828,S008802,8,spring2017
OTU4179,S008802,8,spring2017
OTU2059,S008802,7,spring2017
OTU1135,S008802,7,spring2017
OTU2891,S008802,7,spring2017
OTU3159,S008802,7,spring2017
OTU491,S008802,6,spring2017
OTU176,S008802,6,spring2017
OTU1312,S008802,6,spring2017
OTU457,S008802,6,spring2017
OTU496,S008802,6,spring2017
OTU622,S008802,6,spring2017
OTU1471,S008802,6,spring2017
OTU920,S008802,6,spring2017
OTU17660,S008802,6,spring2017
OTU929,S008802,6,spring2017
OTU1112,S008802,6,spring2017
OTU7517,S008802,6,spring2017
OTU94,S008802,5,spring2017
OTU3018,S008802,5,spring2017
OTU1907,S008802,5,spring2017
OTU2140,S008802,5,spring2017
OTU1106,S008802,5,spring2017
OTU1333,S008802,5,spring2017
OTU2395,S008802,5,spring2017
OTU2385,S008802,5,spring2017
OTU9123,S008802,5,spring2017
OTU3920,S008802,5,spring2017
OTU3593,S008802,5,spring2017
OTU14688,S008802,5,spring2017
OTU1041,S008802,4,spring2017
OTU1535,S008802,4,spring2017
OTU538,S008802,4,spring2017
OTU2040,S008802,4,spring2017
OTU4551,S008802,4,spring2017
OTU4336,S008802,4,spring2017
OTU1521,S008802,4,spring2017
OTU1297,S008802,4,spring2017
OTU4611,S008802,4,spring2017
OTU1984,S008802,4,spring2017
OTU1704,S008802,4,spring2017
OTU1819,S008802,4,spring2017
OTU803,S008802,4,spring2017
OTU3496,S008802,4,spring2017
OTU5717,S008802,4,spring2017
OTU6187,S008802,4,spring2017
OTU5788,S008802,4,spring2017
OTU6103,S008802,4,spring2017
OTU12900,S008802,4,spring2017
OTU842,S008802,3,spring2017
OTU540,S008802,3,spring2017
OTU1324,S008802,3,spring2017
OTU1092,S008802,3,spring2017
OTU1150,S008802,3,spring2017
OTU1051,S008802,3,spring2017
OTU1574,S008802,3,spring2017
OTU811,S008802,3,spring2017
OTU1731,S008802,3,spring2017
OTU767,S008802,3,spring2017
OTU1759,S008802,3,spring2017
OTU143,S008802,3,spring2017
OTU1161,S008802,3,spring2017
OTU476,S008802,3,spring2017
OTU768,S008802,3,spring2017
OTU3309,S008802,3,spring2017
OTU3157,S008802,3,spring2017
OTU1185,S008802,3,spring2017
OTU1427,S008802,3,spring2017
OTU2248,S008802,3,spring2017
OTU887,S008802,3,spring2017
OTU2016,S008802,3,spring2017
OTU4776,S008802,3,spring2017
OTU2790,S008802,3,spring2017
OTU743,S008802,3,spring2017
OTU4140,S008802,3,spring2017
OTU619,S008802,3,spring2017
OTU2957,S008802,3,spring2017
OTU8141,S008802,3,spring2017
OTU1925,S008802,3,spring2017
OTU2983,S008802,3,spring2017
OTU11514,S008802,3,spring2017
OTU9696,S008802,3,spring2017
OTU7048,S008802,3,spring2017
OTU2386,S008802,3,spring2017
OTU14868,S008802,3,spring2017
OTU5396,S008802,3,spring2017
OTU5892,S008802,3,spring2017
OTU11449,S008802,3,spring2017
OTU8686,S008802,3,spring2017
OTU9377,S008802,3,spring2017
OTU10757,S008802,3,spring2017
OTU11073,S008802,3,spring2017
OTU712,S008802,2,spring2017
OTU681,S008802,2,spring2017
OTU1344,S008802,2,spring2017
OTU2687,S008802,2,spring2017
OTU519,S008802,2,spring2017
OTU904,S008802,2,spring2017
OTU932,S008802,2,spring2017
OTU613,S008802,2,spring2017
OTU883,S008802,2,spring2017
OTU2010,S008802,2,spring2017
OTU464,S008802,2,spring2017
OTU1880,S008802,2,spring2017
OTU784,S008802,2,spring2017
OTU530,S008802,2,spring2017
OTU845,S008802,2,spring2017
OTU2451,S008802,2,spring2017
OTU8091,S008802,2,spring2017
OTU1259,S008802,2,spring2017
OTU2163,S008802,2,spring2017
OTU1007,S008802,2,spring2017
OTU3004,S008802,2,spring2017
OTU2949,S008802,2,spring2017
OTU435,S008802,2,spring2017
OTU7078,S008802,2,spring2017
OTU1111,S008802,2,spring2017
OTU715,S008802,2,spring2017
OTU1125,S008802,2,spring2017
OTU1224,S008802,2,spring2017
OTU3233,S008802,2,spring2017
OTU2192,S008802,2,spring2017
OTU4711,S008802,2,spring2017
OTU3358,S008802,2,spring2017
OTU6064,S008802,2,spring2017
OTU2523,S008802,2,spring2017
OTU1182,S008802,2,spring2017
OTU3544,S008802,2,spring2017
OTU1751,S008802,2,spring2017
OTU2766,S008802,2,spring2017
OTU386,S008802,2,spring2017
OTU1104,S008802,2,spring2017
OTU1724,S008802,2,spring2017
OTU1960,S008802,2,spring2017
OTU3940,S008802,2,spring2017
OTU724,S008802,2,spring2017
OTU2266,S008802,2,spring2017
OTU2365,S008802,2,spring2017
OTU5135,S008802,2,spring2017
OTU1256,S008802,2,spring2017
OTU1219,S008802,2,spring2017
OTU863,S008802,2,spring2017
OTU14665,S008802,2,spring2017
OTU693,S008802,2,spring2017
OTU1357,S008802,2,spring2017
OTU15358,S008802,2,spring2017
OTU10760,S008802,2,spring2017
OTU7257,S008802,2,spring2017
OTU7032,S008802,2,spring2017
OTU2411,S008802,2,spring2017
OTU905,S008802,2,spring2017
OTU2356,S008802,2,spring2017
OTU21055,S008802,2,spring2017
OTU4704,S008802,2,spring2017
OTU3974,S008802,2,spring2017
OTU20381,S008802,2,spring2017
OTU2613,S008802,2,spring2017
OTU3999,S008802,2,spring2017
OTU1417,S008802,2,spring2017
OTU4707,S008802,2,spring2017
OTU2097,S008802,2,spring2017
OTU2998,S008802,2,spring2017
OTU13879,S008802,2,spring2017
OTU5317,S008802,2,spring2017
OTU1720,S008802,2,spring2017
OTU7187,S008802,2,spring2017
OTU17091,S008802,2,spring2017
OTU6241,S008802,2,spring2017
OTU346,S008802,2,spring2017
OTU8479,S008802,2,spring2017
OTU7324,S008802,2,spring2017
OTU9895,S008802,2,spring2017
OTU11103,S008802,2,spring2017
OTU4522,S008802,2,spring2017
OTU5129,S008802,2,spring2017
OTU4404,S008802,2,spring2017
OTU5824,S008802,2,spring2017
OTU12506,S008802,2,spring2017
OTU19203,S008802,2,spring2017
OTU17166,S008802,2,spring2017
OTU7050,S008802,2,spring2017
OTU23445,S008802,2,spring2017
OTU19618,S008802,2,spring2017
OTU5425,S008802,2,spring2017
OTU20887,S008802,2,spring2017
OTU23394,S008802,2,spring2017
OTU8903,S008802,2,spring2017
OTU6556,S008802,2,spring2017
OTU16889,S008802,2,spring2017
OTU3508,S008802,2,spring2017
OTU11994,S008802,2,spring2017
OTU22088,S008802,2,spring2017
OTU11861,S008802,2,spring2017
OTU18934,S008802,2,spring2017
OTU17093,S008802,2,spring2017
OTU20962,S008802,2,spring2017
OTU15389,S008802,2,spring2017
OTU7725,S008802,2,spring2017
OTU15409,S008802,2,spring2017
OTU20099,S008802,2,spring2017
OTU17926,S008802,2,spring2017
OTU17314,S008802,2,spring2017
OTU15549,S008802,2,spring2017
OTU19982,S008802,2,spring2017
OTU7783,S008802,2,spring2017
OTU23728,S008802,2,spring2017
OTU18259,S008802,2,spring2017
OTU19246,S008802,2,spring2017
OTU18324,S008802,2,spring2017
OTU12593,S008802,2,spring2017
OTU19683,S008802,2,spring2017
OTU866,S008802,1,spring2017
OTU1373,S008802,1,spring2017
OTU6260,S008802,1,spring2017
OTU1606,S008802,1,spring2017
OTU3485,S008802,1,spring2017
OTU7710,S008802,1,spring2017
OTU2689,S008802,1,spring2017
OTU1458,S008802,1,spring2017
OTU2143,S008802,1,spring2017
OTU930,S008802,1,spring2017
OTU453,S008802,1,spring2017
OTU6883,S008802,1,spring2017
OTU858,S008802,1,spring2017
OTU991,S008802,1,spring2017
OTU1250,S008802,1,spring2017
OTU2200,S008802,1,spring2017
OTU1848,S008802,1,spring2017
OTU3453,S008802,1,spring2017
OTU3465,S008802,1,spring2017
OTU2620,S008802,1,spring2017
OTU4536,S008802,1,spring2017
OTU1044,S008802,1,spring2017
OTU1943,S008802,1,spring2017
OTU3106,S008802,1,spring2017
OTU3410,S008802,1,spring2017
OTU1065,S008802,1,spring2017
OTU1531,S008802,1,spring2017
OTU3578,S008802,1,spring2017
OTU9342,S008802,1,spring2017
OTU1264,S008802,1,spring2017
OTU7880,S008802,1,spring2017
OTU956,S008802,1,spring2017
OTU1319,S008802,1,spring2017
OTU2406,S008802,1,spring2017
OTU2597,S008802,1,spring2017
OTU1618,S008802,1,spring2017
OTU671,S008802,1,spring2017
OTU4867,S008802,1,spring2017
OTU1075,S008802,1,spring2017
OTU1183,S008802,1,spring2017
OTU2151,S008802,1,spring2017
OTU919,S008802,1,spring2017
OTU689,S008802,1,spring2017
OTU1496,S008802,1,spring2017
OTU691,S008802,1,spring2017
OTU1530,S008802,1,spring2017
OTU5068,S008802,1,spring2017
OTU1683,S008802,1,spring2017
OTU1547,S008802,1,spring2017
OTU732,S008802,1,spring2017
OTU672,S008802,1,spring2017
OTU1082,S008802,1,spring2017
OTU6860,S008802,1,spring2017
OTU2080,S008802,1,spring2017
OTU4672,S008802,1,spring2017
OTU10746,S008802,1,spring2017
OTU11151,S008802,1,spring2017
OTU1859,S008802,1,spring2017
OTU915,S008802,1,spring2017
OTU4823,S008802,1,spring2017
OTU1024,S008802,1,spring2017
OTU2652,S008802,1,spring2017
OTU2945,S008802,1,spring2017
OTU2536,S008802,1,spring2017
OTU977,S008802,1,spring2017
OTU4918,S008802,1,spring2017
OTU1986,S008802,1,spring2017
OTU5136,S008802,1,spring2017
OTU2971,S008802,1,spring2017
OTU1912,S008802,1,spring2017
OTU4217,S008802,1,spring2017
OTU4337,S008802,1,spring2017
OTU5036,S008802,1,spring2017
OTU10467,S008802,1,spring2017
OTU943,S008802,1,spring2017
OTU2753,S008802,1,spring2017
OTU2491,S008802,1,spring2017
OTU10152,S008802,1,spring2017
OTU1616,S008802,1,spring2017
OTU918,S008802,1,spring2017
OTU3946,S008802,1,spring2017
OTU3534,S008802,1,spring2017
OTU1038,S008802,1,spring2017
OTU5709,S008802,1,spring2017
OTU8318,S008802,1,spring2017
OTU5520,S008802,1,spring2017
OTU673,S008802,1,spring2017
OTU23593,S008802,1,spring2017
OTU1666,S008802,1,spring2017
OTU4157,S008802,1,spring2017
OTU1533,S008802,1,spring2017
OTU6001,S008802,1,spring2017
OTU968,S008802,1,spring2017
OTU15001,S008802,1,spring2017
OTU3000,S008802,1,spring2017
OTU1955,S008802,1,spring2017
OTU8887,S008802,1,spring2017
OTU5486,S008802,1,spring2017
OTU1116,S008802,1,spring2017
OTU8143,S008802,1,spring2017
OTU2087,S008802,1,spring2017
OTU23339,S008802,1,spring2017
OTU4797,S008802,1,spring2017
OTU9113,S008802,1,spring2017
OTU3408,S008802,1,spring2017
OTU2053,S008802,1,spring2017
OTU1018,S008802,1,spring2017
OTU1913,S008802,1,spring2017
OTU2283,S008802,1,spring2017
OTU1660,S008802,1,spring2017
OTU10547,S008802,1,spring2017
OTU666,S008802,1,spring2017
OTU9245,S008802,1,spring2017
OTU2593,S008802,1,spring2017
OTU10482,S008802,1,spring2017
OTU4893,S008802,1,spring2017
OTU2275,S008802,1,spring2017
OTU1500,S008802,1,spring2017
OTU916,S008802,1,spring2017
OTU20394,S008802,1,spring2017
OTU7390,S008802,1,spring2017
OTU5653,S008802,1,spring2017
OTU8957,S008802,1,spring2017
OTU23378,S008802,1,spring2017
OTU4120,S008802,1,spring2017
OTU6851,S008802,1,spring2017
OTU3061,S008802,1,spring2017
OTU1954,S008802,1,spring2017
OTU20044,S008802,1,spring2017
OTU7077,S008802,1,spring2017
OTU2152,S008802,1,spring2017
OTU1519,S008802,1,spring2017
OTU2208,S008802,1,spring2017
OTU1175,S008802,1,spring2017
OTU13041,S008802,1,spring2017
OTU2817,S008802,1,spring2017
OTU5423,S008802,1,spring2017
OTU7199,S008802,1,spring2017
OTU2216,S008802,1,spring2017
OTU5164,S008802,1,spring2017
OTU11114,S008802,1,spring2017
OTU8249,S008802,1,spring2017
OTU2802,S008802,1,spring2017
OTU2426,S008802,1,spring2017
OTU6310,S008802,1,spring2017
OTU807,S008802,1,spring2017
OTU5934,S008802,1,spring2017
OTU8907,S008802,1,spring2017
OTU4929,S008802,1,spring2017
OTU1844,S008802,1,spring2017
OTU2301,S008802,1,spring2017
OTU1659,S008802,1,spring2017
OTU3292,S008802,1,spring2017
OTU7906,S008802,1,spring2017
OTU9471,S008802,1,spring2017
OTU3866,S008802,1,spring2017
OTU16348,S008802,1,spring2017
OTU934,S008802,1,spring2017
OTU8051,S008802,1,spring2017
OTU1942,S008802,1,spring2017
OTU1874,S008802,1,spring2017
OTU213,S008802,1,spring2017
OTU15438,S008802,1,spring2017
OTU5528,S008802,1,spring2017
OTU11257,S008802,1,spring2017
OTU3326,S008802,1,spring2017
OTU833,S008802,1,spring2017
OTU23732,S008802,1,spring2017
OTU7485,S008802,1,spring2017
OTU3419,S008802,1,spring2017
OTU2527,S008802,1,spring2017
OTU7095,S008802,1,spring2017
OTU12811,S008802,1,spring2017
OTU6201,S008802,1,spring2017
OTU20570,S008802,1,spring2017
OTU4773,S008802,1,spring2017
OTU1374,S008802,1,spring2017
OTU1001,S008802,1,spring2017
OTU23287,S008802,1,spring2017
OTU9322,S008802,1,spring2017
OTU14643,S008802,1,spring2017
OTU17630,S008802,1,spring2017
OTU5784,S008802,1,spring2017
OTU6047,S008802,1,spring2017
OTU14208,S008802,1,spring2017
OTU8930,S008802,1,spring2017
OTU3266,S008802,1,spring2017
OTU10951,S008802,1,spring2017
OTU7486,S008802,1,spring2017
OTU8978,S008802,1,spring2017
OTU1159,S008802,1,spring2017
OTU7897,S008802,1,spring2017
OTU3337,S008802,1,spring2017
OTU7431,S008802,1,spring2017
OTU7477,S008802,1,spring2017
OTU3208,S008802,1,spring2017
OTU4844,S008802,1,spring2017
OTU4141,S008802,1,spring2017
OTU2196,S008802,1,spring2017
OTU959,S008802,1,spring2017
OTU9598,S008802,1,spring2017
OTU13046,S008802,1,spring2017
OTU13293,S008802,1,spring2017
OTU17361,S008802,1,spring2017
OTU1046,S008802,1,spring2017
OTU5869,S008802,1,spring2017
OTU15827,S008802,1,spring2017
OTU1617,S008802,1,spring2017
OTU9036,S008802,1,spring2017
OTU7676,S008802,1,spring2017
OTU5793,S008802,1,spring2017
OTU7901,S008802,1,spring2017
OTU19300,S008802,1,spring2017
OTU2638,S008802,1,spring2017
OTU15012,S008802,1,spring2017
OTU4393,S008802,1,spring2017
OTU8385,S008802,1,spring2017
OTU15564,S008802,1,spring2017
OTU5805,S008802,1,spring2017
OTU809,S008802,1,spring2017
OTU18024,S008802,1,spring2017
OTU16078,S008802,1,spring2017
OTU6308,S008802,1,spring2017
OTU3580,S008802,1,spring2017
OTU5857,S008802,1,spring2017
OTU10616,S008802,1,spring2017
OTU2812,S008802,1,spring2017
OTU11446,S008802,1,spring2017
OTU17811,S008802,1,spring2017
OTU15192,S008802,1,spring2017
OTU3491,S008802,1,spring2017
OTU3170,S008802,1,spring2017
OTU20479,S008802,1,spring2017
OTU4908,S008802,1,spring2017
OTU4625,S008802,1,spring2017
OTU23844,S008802,1,spring2017
OTU18463,S008802,1,spring2017
OTU5207,S008802,1,spring2017
OTU21915,S008802,1,spring2017
OTU5764,S008802,1,spring2017
OTU2644,S008802,1,spring2017
OTU4960,S008802,1,spring2017
OTU16844,S008802,1,spring2017
OTU7933,S008802,1,spring2017
OTU7456,S008802,1,spring2017
OTU10721,S008802,1,spring2017
OTU5015,S008802,1,spring2017
OTU10315,S008802,1,spring2017
OTU5577,S008802,1,spring2017
OTU10848,S008802,1,spring2017
OTU8882,S008802,1,spring2017
OTU12049,S008802,1,spring2017
OTU20129,S008802,1,spring2017
OTU5464,S008802,1,spring2017
OTU1212,S008802,1,spring2017
OTU9573,S008802,1,spring2017
OTU22236,S008802,1,spring2017
OTU22375,S008802,1,spring2017
OTU1672,S008802,1,spring2017
OTU7142,S008802,1,spring2017
OTU22646,S008802,1,spring2017
OTU14464,S008802,1,spring2017
OTU8226,S008802,1,spring2017
OTU1455,S008802,1,spring2017
OTU3240,S008802,1,spring2017
OTU3340,S008802,1,spring2017
OTU12072,S008802,1,spring2017
OTU7770,S008802,1,spring2017
OTU14572,S008802,1,spring2017
OTU5853,S008802,1,spring2017
OTU15611,S008802,1,spring2017
OTU13198,S008802,1,spring2017
OTU19026,S008802,1,spring2017
OTU5142,S008802,1,spring2017
OTU8103,S008802,1,spring2017
OTU18351,S008802,1,spring2017
OTU14727,S008802,1,spring2017
OTU1079,S008802,1,spring2017
OTU16665,S008802,1,spring2017
OTU9778,S008802,1,spring2017
OTU4367,S008802,1,spring2017
OTU7704,S008802,1,spring2017
OTU10725,S008802,1,spring2017
OTU2122,S008802,1,spring2017
OTU6264,S008802,1,spring2017
OTU7637,S008802,1,spring2017
OTU13617,S008802,1,spring2017
OTU22461,S008802,1,spring2017
OTU8430,S008802,1,spring2017
OTU9477,S008802,1,spring2017
OTU18478,S008802,1,spring2017
OTU1534,S008802,1,spring2017
OTU10773,S008802,1,spring2017
OTU7446,S008802,1,spring2017
OTU7441,S008802,1,spring2017
OTU1591,S008802,1,spring2017
OTU6320,S008802,1,spring2017
OTU21267,S008802,1,spring2017
OTU17275,S008802,1,spring2017
OTU18617,S008802,1,spring2017
OTU3052,S008802,1,spring2017
OTU14833,S008802,1,spring2017
OTU9418,S008802,1,spring2017
OTU19931,S008802,1,spring2017
OTU8426,S008802,1,spring2017
OTU9333,S008802,1,spring2017
OTU18488,S008802,1,spring2017
OTU21977,S008802,1,spring2017
OTU19786,S008802,1,spring2017
OTU20949,S008802,1,spring2017
OTU16521,S008802,1,spring2017
OTU16077,S008802,1,spring2017
OTU20917,S008802,1,spring2017
OTU3312,S008802,1,spring2017
OTU15460,S008802,1,spring2017
OTU5391,S008802,1,spring2017
OTU17637,S008802,1,spring2017
OTU21862,S008802,1,spring2017
OTU8723,S008802,1,spring2017
OTU13329,S008802,1,spring2017
OTU19668,S008802,1,spring2017
OTU7026,S008802,1,spring2017
OTU4087,S008802,1,spring2017
OTU10587,S008802,1,spring2017
OTU3448,S008802,1,spring2017
OTU12001,S008802,1,spring2017
OTU16158,S008802,1,spring2017
OTU17313,S008802,1,spring2017
OTU15084,S008802,1,spring2017
OTU11366,S008802,1,spring2017
OTU19627,S008802,1,spring2017
OTU12433,S008802,1,spring2017
OTU15517,S008802,1,spring2017
OTU8106,S008802,1,spring2017
OTU10565,S008802,1,spring2017
OTU20626,S008802,1,spring2017
OTU15390,S008802,1,spring2017
OTU20150,S008802,1,spring2017
OTU15327,S008802,1,spring2017
OTU22,S008803,4293,spring2017
OTU1,S008803,1565,spring2017
OTU4,S008803,157,spring2017
OTU139,S008803,155,spring2017
OTU261,S008803,122,spring2017
OTU94,S008803,109,spring2017
OTU18,S008803,80,spring2017
OTU356,S008803,38,spring2017
OTU281,S008803,34,spring2017
OTU1118,S008803,24,spring2017
OTU293,S008803,23,spring2017
OTU478,S008803,18,spring2017
OTU855,S008803,16,spring2017
OTU231,S008803,16,spring2017
OTU578,S008803,15,spring2017
OTU180,S008803,15,spring2017
OTU940,S008803,13,spring2017
OTU906,S008803,13,spring2017
OTU722,S008803,12,spring2017
OTU2449,S008803,12,spring2017
OTU2033,S008803,12,spring2017
OTU933,S008803,12,spring2017
OTU990,S008803,12,spring2017
OTU1418,S008803,12,spring2017
OTU832,S008803,11,spring2017
OTU951,S008803,11,spring2017
OTU752,S008803,10,spring2017
OTU1034,S008803,10,spring2017
OTU1347,S008803,10,spring2017
OTU1653,S008803,10,spring2017
OTU667,S008803,9,spring2017
OTU1342,S008803,9,spring2017
OTU1172,S008803,9,spring2017
OTU1184,S008803,9,spring2017
OTU993,S008803,8,spring2017
OTU1642,S008803,8,spring2017
OTU1169,S008803,8,spring2017
OTU1757,S008803,8,spring2017
OTU1214,S008803,8,spring2017
OTU1619,S008803,7,spring2017
OTU1027,S008803,7,spring2017
OTU2876,S008803,7,spring2017
OTU1526,S008803,7,spring2017
OTU3401,S008803,7,spring2017
OTU992,S008803,7,spring2017
OTU890,S008803,7,spring2017
OTU1403,S008803,6,spring2017
OTU1818,S008803,6,spring2017
OTU7826,S008803,6,spring2017
OTU1504,S008803,6,spring2017
OTU7629,S008803,6,spring2017
OTU2104,S008803,6,spring2017
OTU814,S008803,6,spring2017
OTU2351,S008803,6,spring2017
OTU1988,S008803,6,spring2017
OTU2123,S008803,6,spring2017
OTU1321,S008803,5,spring2017
OTU5,S008803,5,spring2017
OTU1391,S008803,5,spring2017
OTU2875,S008803,5,spring2017
OTU775,S008803,5,spring2017
OTU1279,S008803,5,spring2017
OTU3468,S008803,5,spring2017
OTU1516,S008803,5,spring2017
OTU2726,S008803,5,spring2017
OTU1957,S008803,5,spring2017
OTU2174,S008803,5,spring2017
OTU2293,S008803,5,spring2017
OTU2919,S008803,4,spring2017
OTU4822,S008803,4,spring2017
OTU1083,S008803,4,spring2017
OTU1385,S008803,4,spring2017
OTU3510,S008803,4,spring2017
OTU853,S008803,4,spring2017
OTU11085,S008803,4,spring2017
OTU1794,S008803,4,spring2017
OTU3768,S008803,4,spring2017
OTU6924,S008803,4,spring2017
OTU2280,S008803,3,spring2017
OTU2342,S008803,3,spring2017
OTU188,S008803,3,spring2017
OTU3852,S008803,3,spring2017
OTU646,S008803,3,spring2017
OTU4899,S008803,3,spring2017
OTU3725,S008803,3,spring2017
OTU1575,S008803,3,spring2017
OTU2455,S008803,3,spring2017
OTU7237,S008803,3,spring2017
OTU2176,S008803,3,spring2017
OTU2611,S008803,3,spring2017
OTU3520,S008803,3,spring2017
OTU1990,S008803,3,spring2017
OTU2673,S008803,3,spring2017
OTU1534,S008803,3,spring2017
OTU9841,S008803,3,spring2017
OTU4094,S008803,3,spring2017
OTU3371,S008803,3,spring2017
OTU2598,S008803,3,spring2017
OTU2575,S008803,3,spring2017
OTU4824,S008803,3,spring2017
OTU5980,S008803,3,spring2017
OTU3441,S008803,3,spring2017
OTU2747,S008803,3,spring2017
OTU2475,S008803,3,spring2017
OTU1488,S008803,3,spring2017
OTU4806,S008803,3,spring2017
OTU4223,S008803,3,spring2017
OTU2720,S008803,3,spring2017
OTU5982,S008803,3,spring2017
OTU3207,S008803,3,spring2017
OTU3856,S008803,3,spring2017
OTU3611,S008803,3,spring2017
OTU4696,S008803,3,spring2017
OTU3945,S008803,3,spring2017
OTU9861,S008803,3,spring2017
OTU267,S008803,2,spring2017
OTU540,S008803,2,spring2017
OTU519,S008803,2,spring2017
OTU2657,S008803,2,spring2017
OTU530,S008803,2,spring2017
OTU1409,S008803,2,spring2017
OTU837,S008803,2,spring2017
OTU919,S008803,2,spring2017
OTU994,S008803,2,spring2017
OTU244,S008803,2,spring2017
OTU1446,S008803,2,spring2017
OTU732,S008803,2,spring2017
OTU7444,S008803,2,spring2017
OTU451,S008803,2,spring2017
OTU3335,S008803,2,spring2017
OTU4002,S008803,2,spring2017
OTU2866,S008803,2,spring2017
OTU850,S008803,2,spring2017
OTU9553,S008803,2,spring2017
OTU5725,S008803,2,spring2017
OTU320,S008803,2,spring2017
OTU2882,S008803,2,spring2017
OTU8100,S008803,2,spring2017
OTU1740,S008803,2,spring2017
OTU3181,S008803,2,spring2017
OTU8180,S008803,2,spring2017
OTU6456,S008803,2,spring2017
OTU9695,S008803,2,spring2017
OTU4059,S008803,2,spring2017
OTU4351,S008803,2,spring2017
OTU4304,S008803,2,spring2017
OTU3623,S008803,2,spring2017
OTU2180,S008803,2,spring2017
OTU22224,S008803,2,spring2017
OTU6502,S008803,2,spring2017
OTU5745,S008803,2,spring2017
