"WeeTU","k","p","c","o","Family","Genus","SciName"
"125.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"104.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"123.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"297.WeeTU","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"281.WeeTU","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"498.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"497.WeeTU","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"83.WeeTU","Eukaryota","Streptophyta","None","Caryophyllales","Talinaceae","Talinum","Talinum paniculatum"
"117.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"220.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Erigeron","Erigeron annuus"
"366.WeeTU","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"420.WeeTU","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"87.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Sigesbeckia","Sigesbeckia orientalis"
"339.WeeTU","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"84.WeeTU","Eukaryota","Streptophyta","None","Apiales","Apiaceae","Ferula","Ferula akitschkensis"
"632.WeeTU","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"200.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"424.WeeTU","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"671.WeeTU","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"100.WeeTU","Eukaryota","Streptophyta","None","Myrtales","Lythraceae","Lagerstroemia","Lagerstroemia tomentosa"
"361.WeeTU","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"446.WeeTU","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"434.WeeTU","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"102.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Sporobolus","Sporobolus maritimus"
"405.WeeTU","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"114.WeeTU","Eukaryota","Streptophyta","None","Solanales","Convolvulaceae","Convolvulus","Convolvulus arvensis"
"94.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Kallstroemia","Kallstroemia parviflora"
"103.WeeTU","Eukaryota","Streptophyta","None","Caryophyllales","Cactaceae","Stenocereus","Stenocereus stellatus"
"336.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"556.WeeTU","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"96.WeeTU","Eukaryota","Streptophyta","None","Caryophyllales","Talinaceae","Talinum","Talinum paniculatum"
"571.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"136.WeeTU","Eukaryota","Streptophyta","None","Rosales","Rosaceae","Rubus","Rubus cochinchinensis"
"134.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"112.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"122.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"305.WeeTU","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"417.WeeTU","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"118.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"249.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"198.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Senna","Senna occidentalis"
"551.WeeTU","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"380.WeeTU","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"146.WeeTU","Eukaryota","Streptophyta","None","Ranunculales","Ranunculaceae","Aconitum","Aconitum kusnezoffii"
"465.WeeTU","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"128.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"195.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Senna","Senna occidentalis"
"148.WeeTU","Eukaryota","Streptophyta","None","Solanales","Solanaceae","Solanum","Solanum nigrum"
"532.WeeTU","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"126.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Alloteropsis","Alloteropsis semialata"
"228.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Descurainia","Descurainia sophia"
"111.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"140.WeeTU","Eukaryota","Streptophyta","None","Solanales","Convolvulaceae","Convolvulus","Convolvulus arvensis"
"113.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Medicago","Medicago truncatula"
"689.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"910.WeeTU","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"131.WeeTU","Eukaryota","Streptophyta","None","Rosales","Rosaceae","Rubus","Rubus cochinchinensis"
"570.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"523.WeeTU","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"145.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Archidendron","Archidendron dalatense"
"383.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"278.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"758.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"872.WeeTU","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"442.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"129.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"301.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"121.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Medicago","Medicago truncatula"
"770.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"192.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Abutilon","Abutilon theophrasti"
"429.WeeTU","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"206.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Glycine","Glycine tomentella"
"138.WeeTU","Eukaryota","Streptophyta","None","Rosales","Elaeagnaceae","Hippophae","Hippophae rhamnoides"
"826.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"160.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Sphaeralcea","Sphaeralcea wrightii"
"214.WeeTU","Eukaryota","Streptophyta","None","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia maculata"
"188.WeeTU","Eukaryota","Streptophyta","None","Caryophyllales","Chenopodiaceae","Atriplex","Atriplex sp. Yeelirrie Station"
"609.WeeTU","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"181.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Vachellia","Vachellia rehmanniana"
"226.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"171.WeeTU","Eukaryota","Streptophyta","None","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia maculata"
"201.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Chamaecrista","Chamaecrista mimosoides"
"189.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Bahia","Bahia absinthifolia"
"325.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Vachellia","Vachellia rehmanniana"
"812.WeeTU","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"176.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Triticum","Triticum turgidum"
"191.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Triticum","Triticum turgidum"
"165.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Callicarpa","Callicarpa nudiflora"
"473.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"154.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Vachellia","Vachellia rehmanniana"
"170.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Acanthaceae","Justicia","Justicia gendarussa"
"208.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Alloteropsis","Alloteropsis semialata"
"177.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Descurainia","Descurainia sophia"
"173.WeeTU","Eukaryota","Streptophyta","None","Ephedrales","Ephedraceae","Ephedra","Ephedra sinica"
"202.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Anisomeles","Anisomeles indica"
"312.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"169.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Vachellia","Vachellia rehmanniana"
"436.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"650.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria macrocarpa"
"291.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum thomsoniae"
"425.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"205.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum thomsoniae"
"719.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Chamaecrista","Chamaecrista mimosoides"
"157.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Medicago","Medicago truncatula"
"211.WeeTU","Eukaryota","Streptophyta","None","Rosales","Cannabaceae","Cannabis","Cannabis sativa"
"875.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"342.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"182.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Tenaxia","Tenaxia guillarmodiae"
"322.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Anisomeles","Anisomeles indica"
"615.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"391.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"276.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Descurainia","Descurainia sophia"
"180.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"341.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"219.WeeTU","Eukaryota","Streptophyta","None","Caryophyllales","Polygonaceae","Rumex","Rumex japonicus"
"190.WeeTU","Eukaryota","Streptophyta","None","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia maculata"
"284.WeeTU","Eukaryota","Streptophyta","None","Caryophyllales","Polygonaceae","Rumex","Rumex japonicus"
"256.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum japonicum"
"221.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Chamaecrista","Chamaecrista mimosoides"
"797.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"522.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"283.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"230.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Acanthaceae","Justicia","Justicia gendarussa"
"803.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"237.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"402.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Sigesbeckia","Sigesbeckia orientalis"
"269.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"340.WeeTU","Eukaryota","Streptophyta","None","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia serrula"
"250.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Medicago","Medicago truncatula"
"575.WeeTU","Eukaryota","Streptophyta","None","Caryophyllales","Polygonaceae","Rumex","Rumex japonicus"
"457.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Descurainia","Descurainia sophia"
"335.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"323.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"817.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"209.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Descurainia","Descurainia sophia"
"185.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"795.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria emirnensis"
"882.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria emirnensis"
"327.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria emirnensis"
"484.WeeTU","Eukaryota","Streptophyta","None","Myrtales","Onagraceae","Oenothera","Oenothera odorata"
"234.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"641.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"635.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"212.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Lavatera","Lavatera cashemiriana"
"345.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Cynodon","Cynodon dactylon"
"227.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"511.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"334.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria emirnensis"
"252.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"260.WeeTU","Eukaryota","Streptophyta","None","Caryophyllales","Nyctaginaceae","Acleisanthes","Acleisanthes chenopodioides"
"274.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"314.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Alloteropsis","Alloteropsis semialata"
"357.WeeTU","Eukaryota","Streptophyta","None","Ephedrales","Ephedraceae","Ephedra","Ephedra sinica"
"462.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria medicaginea"
"848.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria emirnensis"
"586.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria emirnensis"
"324.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"337.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Chamaecrista","Chamaecrista mimosoides"
"203.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Medicago","Medicago schischkinii"
"275.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum thomsoniae"
"286.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Alloteropsis","Alloteropsis semialata"
"264.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"728.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Perezia","Perezia carthamoides"
"242.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"409.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum cyrtophyllum"
"428.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"647.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"504.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"351.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"338.WeeTU","Eukaryota","Streptophyta","None","Myrtales","Onagraceae","Oenothera","Oenothera odorata"
"468.WeeTU","Eukaryota","Streptophyta","None","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia maculata"
"589.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum thomsoniae"
"239.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum japonicum"
"474.WeeTU","Eukaryota","Streptophyta","None","Caryophyllales","Chenopodiaceae","Atriplex","Atriplex sp. Yeelirrie Station"
"621.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Sorghum","Sorghum bicolor"
"225.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"574.WeeTU","Eukaryota","Streptophyta","None","Caryophyllales","Chenopodiaceae","Atriplex","Atriplex sp. Yeelirrie Station"
"258.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Descurainia","Descurainia sophia"
"535.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"539.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"494.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"467.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria emirnensis"
"557.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum japonicum"
"598.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"805.WeeTU","Eukaryota","Streptophyta","None","Solanales","Convolvulaceae","Convolvulus","Convolvulus arvensis"
"316.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"304.WeeTU","Eukaryota","Streptophyta","None","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia maculata"
"238.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"785.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Alloteropsis","Alloteropsis semialata"
