#OTU ID,blank1..,blank2..,blank3.Joe.,NTC1..,NTC2..,ConsensusLineage,S008824,S008825,S008826,S008827,S008834,S008835,S008836,S008837,S008844,S008845,S008846,S008847,S008854,S008855,S008856,S008857,S009020,S009021,S009022,S009023,S009030,S009032,S009033,S009040,S009041,S009042,S009043,S009050,S009051,S009052,S009053,S009064,S009065,S009066,S009067,S009074,S009075,S009076,S009077,S009084,S009085,S009086,S009087,S009090,S009095,S009096,S009097,Sum
OTU150,0,0,0,4,2,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; ; f__; g__; s__,0.862116041,0.086906062,0.566937644,0.011118566,0.939182237,0.135177453,0.017305777,0.614647502,0.013797116,0.906110927,0.822518775,0.048105321,0.388023439,0.953938773,0.341343723,0.792685888,0.301655757,0.8736309,0.913430646,0.949814238,0.008846349,0.436448876,0.522642193,0.410016491,0.917134831,0.970112991,0.403849679,0.020718495,0.953486784,0.004370716,0.960843113,0.180561878,0.001425917,0.88784565,0.001921742,0.230885312,0.397245147,0.934298908,0.693756884,0.676983386,0.33795767,0.846787248,0.743007143,0.201258283,0.932046643,0.00164535,0.636531979,23.85107644
OTU35295,0,16348,0,0,0,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Polygonaceae; f__; g__Eriogonum; s__Eriogonum_umbellatum; ,6.83E-05,0.001092299,0,0.008291,5.42E-05,0,0.000373506,0,0.001662303,0,0.025717219,0.002027331,0.013863084,0,0,0,0,3.05E-05,0,0,0,0,0.060821962,0,0,0,0.011915674,0,0,0.000529784,0,0,4.32E-05,0.015869509,0,0,5.81E-05,0,5.80E-05,0.013216352,0,0,0,0.173214644,3.09E-05,3.10E-05,0,0.328968864
OTU96376,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Amaranthaceae; f__; g__Amaranthus; s__Amaranthus_greggii; ,0,0,0,2.40E-05,0,0,0,0.004534565,0,0.000597808,0,0,0,0,0,0,0.000154024,0,0,0,0.003806831,0,0.061023226,0.011113501,0,0,0,0.08363429,0,0.000264892,0,0,0,0,0,0,0.056259444,0,0.04324387,0,0,0.000703779,0.018934504,0,0,0,0,0.284294697
OTU26338,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; ; g__; s__,0.001228669,0.016657564,0.001080776,0.016869549,0.000108313,0.006993737,0.015375996,0.003992699,0.017745086,0.000763866,0,0.011963758,0.008289267,2.56E-05,0.009666002,0.001183612,0.005236812,0.000549166,0.000885426,0,0.020339352,0.006027683,0.002294409,0.008747401,0,2.93E-05,0.003391384,0.015016157,3.42E-05,0.015463064,0,0.013266567,0.004320961,0,0,0.017605634,0.005870045,0,0.001159353,0.003546761,0.010906844,0.000281512,0.000172132,0.007763871,0,0.015460077,0.000237406,0.27054995
OTU8497,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Bouteloua; ; s__,0.000136519,0.009352813,0.000469903,0,0,0.076617954,0.000747012,0.000228154,0,0.000132846,0.000702361,2.50E-05,0.000142918,0.000307416,0.000237932,0.000121396,7.70E-05,0.000122037,5.06E-05,5.99E-05,0.0006526,0.075680905,4.03E-05,0.005126551,0,0,0.000183318,0.035734651,0.000102452,3.31E-05,2.88E-05,9.75E-05,0.000345677,0.005523031,0.005338173,0,0.005928165,0.006926952,5.80E-05,3.73E-05,9.27E-05,7.04E-05,8.61E-05,0.016665551,0.000587671,0,0.002184132,0.251055835
OTU16072,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Vachellia; ; s__,0.001228669,0.019934462,0.000798835,0.010854979,0.000108313,0.00960334,0.010676046,0.004819758,0.008810207,0.002756559,0,0.008559844,0.010861798,0.000204944,0.012313,0.001760243,0.004235657,0.003264484,0.001214298,0,0.010912914,0.006399762,0.001127078,0.012547501,0,0.000204906,0.004857929,0.033263638,0,0.009734777,0,0.012973922,0.001814804,0,0,0.005030181,0.004300825,0,0.002260739,0.005450812,0.008249652,0.001126047,0.000516396,0.002141758,6.19E-05,0.009468521,0.000379849,0.244829306
OTU2259,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; ; g__; s__,0.008805461,0.00054615,0.004370095,0.000143775,0.007473599,0.000730689,9.34E-05,0.004990874,0.000124673,0.009332448,0.010967637,0.000125144,0.003430041,0.008786986,0.00327157,0.008285281,0.001925298,0.005156055,0.006956918,0.009407958,3.63E-05,0.00446495,0.004991346,0.00383595,0.007435558,0.005269012,0.002566453,0,0.006215422,3.31E-05,0.009284623,0.001528256,0,0.00891049,0,0.001006036,0.004068348,0.010495382,0.004869283,0.005898824,0.005159895,0.008445352,0.006110681,0.002543337,0.006959265,6.21E-05,0.007027207,0.212141154
OTU14879,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Astragalus; ; s__,0,0.000477881,0.08603919,0,0,0.045720251,0.00034238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074130393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10E-05,0,0.20674114
OTU79705,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Bouteloua; s__Bouteloua_aristidoides; ,0,0.00525669,9.40E-05,2.40E-05,0,0.048956159,3.11E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00105141,0.003348713,0,0.0022227,0,0,0,0.024710131,0,6.62E-05,0,0,0.000432096,0.002577414,0.007473443,0,0.000232477,0.005037783,0,0,0,0,0,0.016665551,0,0,0.001756802,0.119936661
OTU18608,1,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__; c__Nymphaeales; o__Nymphaeaceae; f__; g__Nymphaea; ; s__,0,0,0,0,0,0,3.11E-05,0,0,3.32E-05,5.40E-05,2.50E-05,0,0,0,0.059605463,0,3.05E-05,0,0,0,7.44E-05,0,0,0,0,0,0,0,6.62E-05,2.88E-05,0,0,0,0,0,0.054980821,0,0,0,0,0,0,0,0,0,0,0.114929659
OTU24731,0,0,154,0,0,d__Viridiplantae; k__Streptophyta; p__Pinidae; c__Pinales; o__Pinaceae; f__; g__Pinus; s__Pinus_luchuensis; ,0.000409556,0.000136537,0,0,0,0.000208768,3.11E-05,0,0,0,0.001566805,0,0,0,0,0,0,0,0.000404766,0,0.000761366,0,0,0.00190005,0,0,0.001283226,0,0.000170753,0.000198669,0,0.000487741,0,0.000773224,0,0,0.00627688,0,0,0,0,0.000281512,0,0,0,0,0.089074593,0.103965574
OTU13202,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Cenchrus; s__Cenchrus_hohenackeri; ,0.003481229,0.000477881,0.003336309,0.000143775,0.002816139,0.000417537,9.34E-05,0.002110427,0,0.004516772,0.003781944,2.50E-05,0.002429613,0.00417574,0.00172501,0.003368741,0.000770119,0.002684809,0.003440512,0.003984899,3.63E-05,0.001339485,0.001972387,0.00211515,0.003139458,0.002283239,0.001374885,0,0.004302985,0,0.004036792,0.001203096,0,0.007364041,0,0.001006036,0.001394862,0.003148615,0.002086836,0.003136084,0.001235903,0.002744739,0.003012307,0.000669299,0.003340447,0,0.004083377,0.098806138
OTU88819,17601,10,0,4,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Rosales; o__Rosaceae; f__Dryadoideae; g__Cercocarpus; s__Cercocarpus_betuloides; ,0,0,0,0,0,0,0,0,0,0,0.008428332,0.000600691,0,0,0,0.015842185,7.70E-05,0,5.06E-05,0,0,0,0.070844906,0,0,0,0,0,0,0,0,0,0,0,5.34E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.095897104
OTU61757,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Astragalus; s__Astragalus_polaris; ,0,0.000477881,0.035148724,0,0,0.023382046,6.23E-05,0,0.000623364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026230755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.31E-05,0,0.086018153
OTU52764,0,0,210,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; g__Trisetum; s__Trisetum_flavescens; ,0.000341297,0,0.001268737,2.40E-05,0.000649878,0.012734864,0.000435757,0.000142596,0,0,0.003673888,2.50E-05,0,2.56E-05,8.92E-05,0.003550835,0,3.05E-05,0.000126489,0,7.25E-05,0,0,0.00118305,8.26E-05,2.93E-05,0.001649863,0.000190078,0,0.000165557,2.88E-05,3.25E-05,0.001814804,0,0.000800726,0,0.000871789,0,0.000405774,0,0,0.00035189,0.000516396,6.69E-05,0.000309301,0,0.049617777,0.081308369
OTU4375,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Setaria; ; s__,0.000614334,0.000409612,0.041492411,0,0.0012456,0.000313152,0,0.000484828,0,0.00106277,0.00048625,0,0.000142918,0.00117843,0.00038664,0.000819423,0.001463227,0.000701712,0.000607149,0.001108581,0,7.44E-05,0.000684297,0.0005736,0.006031064,0.000995258,0.000641613,0,0.001331876,3.31E-05,0.000720856,0.000390193,0,0.001104606,5.34E-05,0.001006036,0.000523073,0.001259446,0.005622862,0.000821355,0.000278078,0.001900204,0.001032791,0.000602369,0.002134175,0,0.000712217,0.081043918
OTU8807,0,0,746,0,0,d__Viridiplantae; k__Streptophyta; p__Pinidae; c__Pinales; o__Pinaceae; f__; g__Pinus; ; s__,0.001365188,0.000136537,0,0,0,0.000104384,0.000311255,0,0,0,0.003079583,0,0,0,0,0,0,0,0.000607149,0,0,0.048519125,0,0.00247365,0,0,0.00192484,0,0.000409808,3.31E-05,0,0.000227613,0,0.001399168,0,0,0.009531559,0,0,0,6.18E-05,0,0,0,3.09E-05,3.10E-05,0.007786905,0.078033644
OTU1439,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; ; g__; s__,0.004095563,0.000614418,0.00178563,0,0.002978608,0.000313152,9.34E-05,0.00159708,4.16E-05,0.002191963,0.0029175,0.000100115,0.002286694,0.003304727,0.002081908,0.001578149,0.001386215,0.001647497,0.00131549,0.002786433,0,0.001711564,0.001529606,0.00311895,0.002643754,0.001141619,0.001191567,0,0.002732054,3.31E-05,0.002739252,0.001040515,0,0.003019257,0,0.001006036,0.001627339,0.002623846,0.00173903,0.002352063,0.001637571,0.001477937,0.003012307,0.001405528,0.002783706,0,0.001376953,0.075059643
OTU47832,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Tragus; s__Tragus_berteronianus; ,0.003208191,0.000136537,0.001597669,7.19E-05,0.00232873,0.000208768,9.34E-05,0.00196783,8.31E-05,0.002822982,0.005672916,2.50E-05,0.001143347,0.003151018,0.001189662,0.001820941,0.000539084,0.001647497,0.002074426,0.002516779,3.63E-05,0.002083643,0.0014491,0.0012189,0.002313285,0.001814882,0.001374885,0,0.003107711,0,0.002566247,0.000357677,0,0.003056077,0,0,0.001511101,0.003778338,0.001623094,0.00164271,0.000926927,0.001477937,0.002581978,0.001874038,0.002134175,0,0.0025165,0.071745246
OTU30010,0,0,0,0,1,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Pentaclethra; s__Pentaclethra_eetveldeana; ,0.000136519,0.004300928,0.000422912,0.004409087,0,0.001356994,0.004264193,0.00156856,0.004321988,0.000132846,0,0.002828252,0.001715021,0,0.003122862,9.10E-05,0.002464382,9.15E-05,2.53E-05,0,0.004386919,0.00178598,0.000120758,0.0017208,0,0,0.000824931,0.003801559,0,0.00423827,0,0.002503739,0.00112345,0,5.34E-05,0.008551308,0.001104266,0,0.000115935,0.000933358,0.003707709,0,0.000172132,0.000803159,3.09E-05,0.004035763,4.75E-05,0.071314248
OTU1410,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Solanales; o__Solanaceae; f__Solanoideae; g__Solanum; ; s__,0,0,0,0,0,0,0.009555528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055820348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065375876
OTU2677,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; ; g__; s__,0.001433447,0.000955762,0.001315728,0,0.002870295,0.001565762,0.003019173,0.001397445,4.16E-05,0.002158751,0.001836944,0.000125144,0.001000429,0.001946971,0.00077328,0.001638847,0.000231036,0.001250877,0.002074426,0.00200743,0,0.002604554,0.00072455,0.0012906,0.001982816,0.001551431,0.001649863,0.000570234,0.001366027,0,0.001758888,0.000682838,4.32E-05,0.002319673,0,0.001006036,0.000929908,0.002413938,0.002782447,0.001194699,0.000834235,0.001829826,0.001807384,0.001137809,0.001546503,0,0.001804283,0.061475057
OTU1752,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; ; g__; s__,0.000204778,0.00266248,0.000375922,0.004912298,0,0.000939457,0.003050299,0.000941136,0.003532394,6.64E-05,0,0.002502878,0.001429184,0,0.002676739,0.000212443,0.001001155,0.000122037,0.000151787,0,0.005365818,0.001339485,0.000241517,0.0020076,0,0,0.000458295,0.002661091,0,0.003576041,0,0.003219093,0.000604935,0,0,0.001509054,0.000697431,0,0.000115935,0.001568042,0.002626294,0,0,0.001003949,0,0.004315162,4.75E-05,0.056138634
OTU73930,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__Bryidae; c__Hypnales; o__Leucodontaceae; f__; g__Leucodon; s__Leucodon_brachypus; ,0,0.000341344,0.016023683,0,0,0,0,0,0,0,0,0,0.023867372,0,0,0,0,3.05E-05,0,0.008509108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048772016
OTU5539,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Distichlis; ; s__,0.001774744,0,0.001362718,0,0.002003791,0.000208768,3.11E-05,0.001368925,0,0.001992693,0.001674861,7.51E-05,0.001000429,0.002459331,0.001219403,0.00091047,0.00038506,0.001067822,0.001416681,0.003355705,3.63E-05,0.00089299,0.001569859,0.00089625,0.001404494,0.000995258,0.001099908,0,0.001331876,0,0.001585883,0.000227613,0,0.002209212,0,0.000503018,0.00081367,0.001889169,0.001159353,0.001194699,0.001081415,0.000774157,0.001290989,0.00033465,0.001175343,0,0.001139547,0.045913222
OTU5518,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; ; g__; s__,0,0.000136537,0.000375922,0,0,0.000313152,0.003237052,0,4.16E-05,0,0,0,0,0,8.92E-05,0,0,0,0,0,0,0.000372079,0,0,0.022058824,0,0.012190651,0,0.004473738,0,0,3.25E-05,0,0,0,0,5.81E-05,0,0,0,0,0,0,0,0,6.21E-05,0.000379849,0.043821311
OTU3346,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; ; g__; s__,0.000204778,6.83E-05,9.40E-05,0,0.001462226,0,0,8.56E-05,0,0.000199269,5.40E-05,2.50E-05,0.030155781,0.000204944,0.003479761,0.000182094,0,0.000244074,0.000151787,0.00017977,0,0.000148832,8.05E-05,0.0026529,0,0.000409812,9.17E-05,0.00095039,0.000204904,0,0.000230674,3.25E-05,0.000216048,0.000331382,0,0,0.000116239,0,0.000173903,0.000186672,3.09E-05,0.000211134,8.61E-05,0,0.00018558,0,0.000332368,0.043463829
OTU4186,0,0,3724,0,0,d__Viridiplantae; k__Streptophyta; p__Pinidae; c__Pinales; o__Pinaceae; f__; g__Pinus; ; s__,0.001706485,0.001092299,0,0,0,0.000104384,0,0,4.16E-05,0,0.003079583,0,0,0,0,0,0,0,0.007032811,0,0.000290044,0,0,0.007707751,0,0,0.002474794,0,0.000204904,9.93E-05,0,0.001593289,4.32E-05,0.002687875,0,0,0.013541788,0,0,0,0,0.000211134,0,0,0,0,4.75E-05,0.041958723
OTU14526,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; ; g__; s__,0.000887372,6.83E-05,0.001127767,0,0.0012456,0.000313152,6.23E-05,0.001311887,0,0.001527732,0.001674861,7.51E-05,0.000285837,0.001895735,0.000356899,0.001911988,0.000154024,0.000976294,0.001138405,0.001198466,0,0.001190653,0.002093145,0.00060945,0.001652346,0.000965986,0.001099908,0,0.001468479,0,0.00170122,0.000292645,0,0.001325527,0,0.002012072,0.000639312,0.001469353,0.000869515,0.000784021,0.000834235,0.000985291,0.000860659,0.001204739,0.001732084,0,0.001044585,0.041046848
OTU76829,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Hoffmannseggia; s__Hoffmannseggia_glauca; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015123363,0,0.021406075,0,0,0,0,0,0,0,0,0,0,0,0,0.03655918
OTU53175,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Moorochloa; s__Moorochloa_eruciformis; ,0.001569966,0.000136537,0.000751844,0,0.001137287,0.000939457,3.11E-05,0.00276637,0,0.001859847,0.000810417,0.000125144,0.000571674,0.001537082,0.000565089,0.000515933,0.001309203,0.000488147,0.000505958,0.001108581,7.25E-05,0.000744158,0.001368595,0.00075285,0.000991408,0.000878169,0.000458295,0,0.000717164,0,0.001239872,9.75E-05,0,0.001546449,0,0.000503018,0.00075555,0.001259446,0.000463741,0.00112003,0.001544879,0.001055669,0.000344264,0.00040158,0.000494881,0,0.001376953,0.034916691
OTU84913,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Tachigali; s__Tachigali_myrmecophila; ,0,0.001774986,0.000187961,0.002204543,0,0.001043841,0.002521165,0.000770021,0.001745418,9.96E-05,0,0.000926065,0.002143776,0,0.001665527,9.10E-05,0.000539084,0.000122037,0.00035417,0,0.001994054,0.00089299,8.05E-05,0.00139815,0,0,0.000274977,0.002280935,0,0.001589351,0,0.001723353,0.000993821,0,5.34E-05,0.001006036,0.000697431,0,0,0.000672018,0.000957825,7.04E-05,0,0.000803159,0,0.002017882,0.000142443,0.033837967
OTU9489,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Pseudopiptadenia; ; s__,0,0.001433643,4.70E-05,0.000862647,0,0.000104384,0.001089392,5.70E-05,0.000498691,0,0,0.002177504,0.015292268,0,0.000475865,0.003793627,0,3.05E-05,2.53E-05,0,0.000688855,0.000372079,8.05E-05,0.0006453,0,0,0.000458295,0.000760312,0,0.000927122,0,0.000390193,0.000345677,0,0,0.000503018,0.000290596,0,5.80E-05,0.000149337,0.000587054,0,0,0.00020079,0,0.000776108,4.75E-05,0.033168548
OTU666,0,0,0,1,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Quercus; ; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31E-05,0,0,4.32E-05,0,0,0,0.030919447,0,0,0,3.09E-05,0,0,0,0,0,0,0.031026665
OTU22980,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Solanales; o__Convolvulaceae; ; f__; g__; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007933927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02065429,0.028588217
OTU10453,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Polygonaceae; f__Polygonoideae; g__Fallopia; ; s__,0,0,0,0.006254193,0,0,0,0,0,0,0,0,0,0,0,0.016661608,0,0,0,0,0,0,0,0.00182835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000633401,0,0,0,0,0,0.025377553
