OTU,ConsensusLineage,S008824,S008825,S008826,S008827,S008834,S008835,S008836,S008837,S008844,S008845,S008846,S008847,S008854,S008855,S008856,S008857,S009020,S009021,S009022,S009023,S009030,S009032,S009033,S009040,S009041,S009042,S009043,S009050,S009051,S009052,S009053,S009064,S009065,S009066,S009067,S009074,S009075,S009076,S009077,S009084,S009085,S009086,S009087,S009090,S009095,S009096,S009097,Sum
OTU13202,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Cenchrus; s__Cenchrus_hohenackeri;,51,7,71,6,52,4,3,74,0,136,70,1,17,163,58,111,10,88,136,133,1,18,49,59,38,78,15,0,126,0,140,37,0,200,0,2,24,30,36,84,40,39,35,10,108,0,86,109981
OTU88819,d__Viridiplantae; k__Streptophyta; p__rosids; c__Rosales; o__Rosaceae; f__Dryadoideae; g__Cercocarpus; s__Cercocarpus_betuloides;,0,0,0,0,0,0,0,0,0,0,156,24,0,0,0,522,1,0,2,0,0,0,1760,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,106743
OTU61757,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Astragalus; s__Astragalus_polaris;,0,7,748,0,0,224,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,95747
OTU52764,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; g__Trisetum; s__Trisetum_flavescens;,5,0,27,1,12,122,14,5,0,0,68,1,0,1,3,117,0,1,5,0,2,0,0,33,1,1,18,1,0,5,1,1,42,0,15,0,15,0,7,0,0,5,6,1,10,0,1045,90504
OTU4375,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Setaria; ; s__,9,6,883,0,23,3,0,17,0,32,9,0,1,46,13,27,19,23,24,37,0,1,17,16,73,34,7,0,39,1,25,12,0,30,1,2,9,12,97,22,9,27,12,9,69,0,15,90210
OTU8807,d__Viridiplantae; k__Streptophyta; p__Pinidae; c__Pinales; o__Pinaceae; f__; g__Pinus; ; s__,20,2,0,0,0,1,10,0,0,0,57,0,0,0,0,0,0,0,24,0,0,652,0,69,0,0,21,0,12,1,0,7,0,38,0,0,164,0,0,0,2,0,0,0,1,1,164,86859
OTU1439,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; ; g__; s__,60,9,38,0,55,3,3,56,1,66,54,4,16,129,70,52,18,54,52,93,0,23,38,87,32,39,13,0,80,1,95,32,0,82,0,2,28,25,30,63,53,21,35,21,90,0,29,83549
OTU47832,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Tragus; s__Tragus_berteronianus;,47,2,34,3,43,2,3,69,2,85,105,1,8,123,40,60,7,54,82,84,1,28,36,34,28,62,15,0,91,0,89,11,0,83,0,0,26,36,28,44,30,21,30,28,69,0,53,79860
OTU30010,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Pentaclethra; s__Pentaclethra_eetveldeana;,2,63,9,184,0,13,137,55,104,4,0,113,12,0,105,3,32,3,1,0,121,24,3,48,0,0,9,20,0,128,0,77,26,0,1,17,19,0,2,25,120,0,2,12,1,130,1,79380
OTU1410,d__Viridiplantae; k__Streptophyta; p__asterids; c__Solanales; o__Solanaceae; f__Solanoideae; g__Solanum; ; s__,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72770
OTU2677,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; ; g__; s__,21,14,28,0,53,15,97,49,1,65,34,5,7,76,26,54,3,41,82,67,0,35,18,36,24,53,18,3,40,0,61,21,1,63,0,2,16,23,48,32,27,26,21,17,50,0,38,68428
OTU1752,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; ; g__; s__,3,39,8,205,0,9,98,33,85,2,0,100,10,0,90,7,13,4,6,0,148,18,6,56,0,0,5,14,0,108,0,99,14,0,0,3,12,0,2,42,85,0,0,15,0,139,1,62488
OTU73930,d__Viridiplantae; k__Streptophyta; p__Bryidae; c__Hypnales; o__Leucodontaceae; f__; g__Leucodon; s__Leucodon_brachypus;,0,5,341,0,0,0,0,0,0,0,0,0,167,0,0,0,0,1,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54288
OTU5539,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Distichlis; ; s__,26,0,29,0,37,2,1,48,0,60,31,3,7,96,41,30,5,35,56,112,1,12,39,25,17,34,12,0,39,0,55,7,0,60,0,1,14,18,20,32,35,11,15,5,38,0,24,51106
OTU5518,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; ; g__; s__,0,2,8,0,0,3,104,0,1,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,267,0,133,0,131,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,8,48777
OTU3346,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; ; g__; s__,3,1,2,0,27,0,0,3,0,6,1,1,211,8,117,6,0,8,6,6,0,2,2,74,0,14,1,5,6,0,8,1,5,9,0,0,2,0,3,5,1,3,1,0,6,0,7,48380
OTU4186,d__Viridiplantae; k__Streptophyta; p__Pinidae; c__Pinales; o__Pinaceae; f__; g__Pinus; ; s__,25,16,0,0,0,1,0,0,1,0,57,0,0,0,0,0,0,0,278,0,8,0,0,215,0,0,27,0,6,3,0,49,1,73,0,0,233,0,0,0,0,3,0,0,0,0,1,46704
OTU14526,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; ; g__; s__,13,1,24,0,23,3,2,46,0,46,31,3,2,74,12,63,2,32,45,40,0,16,52,17,20,33,12,0,43,0,59,9,0,36,0,4,11,14,15,21,27,14,10,18,56,0,22,45689
